ID,SNM,STYP,FND,RGN,USC,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
93,군장대학교,전문대학,사립,전북,C그룹,64.18307751659452,63.22941656421354,63.27736094516593,61.67641384126986,62.336823158730176,62.353397,62.35845
94,극동대학교,대학,사립,충북,C그룹,66.20143841847037,67.28432776767676,66.64301892400191,65.30921974939878,65.91154678354975,65.92648,65.922104
95,글로벌사이버대학교,대학,사립,충남,C그룹,60.026567730158746,60.64009692063497,60.60351865079367,60.34901722222224,60.026567730158746,60.024483,60.00788
96,금강대학교,대학,사립,충남,C그룹,65.9057402871826,65.33707125970282,66.61519746178574,66.17259341698998,63.76269033477632,63.775074,63.780373
97,기독간호대학교,전문대학,사립,광주,C그룹,64.41958886050985,64.52216976527177,64.65495167003365,64.52435524146223,64.49564008273208,64.49917,64.500534
98,김천대학교,대학,사립,경북,C그룹,66.6983282269695,67.01278411976912,66.64349388167389,66.46832811688309,67.05338050865801,67.06635,67.0587
99,김포대학교,전문대학,사립,경기,C그룹,64.76774726767673,63.05887465945165,62.57351006349208,62.6419686190477,64.10570976190479,64.105225,64.10346
100,김해대학교,전문대학,사립,경남,C그룹,62.76616890043291,62.59711842424244,62.296017590909074,62.29807084487733,62.33463693217893,62.34073,62.352634
101,나사렛대학교,대학,사립,충남,B그룹,66.8561755651868,66.92829990214616,66.74653917935045,66.16265946258572,65.53638327275705,65.51822,65.50445
102,나주대학교,전문대학,사립,전남,C그룹,61.05169587301591,61.09387544444452,61.63447369841276,61.52642184126991,62.21492095238099,62.21,62.20826
103,남부대학교,대학,사립,광주,C그룹,64.7001646772487,64.70429682010587,64.27074752380958,64.4817774444445,63.715708746031744,63.720726,63.720345
104,남서울대학교,대학,사립,충남,B그룹,67.31340713180542,67.45464914918416,67.41182655209607,67.04562573687623,67.12769238524422,67.12788,67.13119
105,농협대학교,전문대학,사립,경기,C그룹,66.67688752855678,66.70681298749399,66.37222784463684,66.08511132082734,66.68144038431942,66.66382,66.665085
106,능인대학원대학교,대학원대학,사립,경기,-,65.90730177681579,65.56119964261666,64.86262610822513,63.86035370899472,64.46150938095238,64.477325,64.47706
107,단국대학교,대학,사립,경기,A그룹,69.5516502467533,69.86664579365082,69.73136692712846,69.62894134920639,68.85295033333338,69.00987,69.0084
108,대경대학교,전문대학,사립,경북,B그룹,60.42303689393941,63.06815198412702,61.94602569552676,64.17119666666672,64.2048443650794,64.204254,64.20201
109,대구가톨릭대학교,대학,사립,경북,A그룹,66.98452602516565,66.83115990987538,66.57024949680464,66.25864386477417,65.917134262336,65.92591,65.92385
110,대구경북과학기술원,대학,국립,대구,C그룹,69.19003223660872,68.94212128692394,68.40260804613261,67.49607619875775,65.94535304044301,65.96874,66.00867
111,대구공업대학교,전문대학,사립,대구,C그룹,65.43048892929293,64.61560378643577,62.81311470707068,63.00061821500718,64.11522632539682,64.119194,64.11735
112,대구과학대학교,전문대학,사립,대구,A그룹,64.12074236075037,64.0728468845599,63.02040196392498,63.99375958297262,62.15182028571427,62.174725,62.167336
113,대구교육대학교,대학,국립,대구,C그룹,66.40549937054809,66.44981424356399,66.79757118007191,66.98023082220756,66.88059616419886,66.8966,66.88813
114,대구대학교,대학,사립,경북,A그룹,67.18104752124445,66.95699438824336,67.02444902814266,66.65263206523625,66.58227153454716,66.5843,66.58707
115,대구미래대학교,전문대학,사립,경북,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
116,대구보건대학교,전문대학,사립,대구,A그룹,64.17091671428574,64.25658434920638,64.10315896825405,64.0207577460318,63.98743063492068,63.986603,63.989414
117,대구사이버대학교,대학,사립,경북,C그룹,62.48719666666669,62.49216666666669,62.4921666666667,62.58667003174607,62.37197992063495,62.349,62.34361
118,대구예술대학교,대학,사립,경북,C그룹,66.37059617364119,66.85409365416065,66.42856113035114,66.43377095574796,66.60942643193845,66.60955,66.60965
119,대구외국어대학교,대학,사립,경북,C그룹,60.026567730158746,60.026567730158746,60.026567730158746,60.02656773015876,60.026567730158746,60.026615,60.026615
120,대구한의대학교,대학,사립,경북,B그룹,66.68201257169883,66.98595433454906,66.84987577492153,66.82084655732625,66.63595894375268,66.633064,66.6296
121,대덕대학교,전문대학,사립,대전,C그룹,66.76745159066861,66.82129624146226,65.69246916209721,65.02573376527181,64.1374416507937,64.14583,64.146164
