연도,번호,학교명,학교유형,설립,지역,대학규모,직원-정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,비정규직-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,합계-전담-1급 정사서,2급 정사서,준사서,미소지자,계,겸직-1급 정사서,2급 정사서,준사서,미소지자,계,계-1급 정사서,2급 정사서,준사서,미소지자,계,직원교육현황-대면교육-참여시간,참여인원,온라인 교육-참여시간,참여인원,"재학생 1,000명당 도서관 직원수-정규직-사서",비사서,비정규직-사서,비사서,재학생수(당해년도),"재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수-사서직원수 정규직",사서직원수 비정규직,재학생수(당해년도),"재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간-교육 참여시간,도서관직원수 정규직,도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간
2022,40,경운대학교,대학,사립,경북,C그룹,0,2.0,0,0,2.0,0,0,0,0.0,0.0,0,1.0,0,4.0,5.0,0,0,0,0,0,0,3.0,0,4.0,7.0,0,0,0,0.0,0.0,0,3.0,0,4.0,7.0,47.0,7,238.5,45,2.0,0.0,1.0,4.0,4345,1.100000023841858,2.0,1.0,4345,0.699999988079071,285.5,2.0,5.0,40.79999923706055
2022,41,경인교육대학교,대학,국립,인천,C그룹,0,3.0,1,1,5.0,1,1,0,0.0,2.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,3.0,1,1.0,5.0,1,1,0,0.0,2.0,1,4.0,1,1.0,7.0,397.0,81,211.1999969482422,60,6.0,1.0,0.0,0.0,3844,1.7999999523162842,6.0,0.0,3844,1.600000023841858,608.2000122070312,8.0,0.0,76.0
2022,42,경인여자대학교,전문대학,사립,인천,B그룹,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,0,0,0,0,0,0,2.0,0,0.0,2.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,137.0,22,150.0,36,0.0,0.0,2.0,0.0,4170,0.4000000059604645,0.0,2.0,4170,0.5,287.0,0.0,1.0,287.0
2022,43,경일대학교,대학,사립,경북,B그룹,1,2.0,0,0,3.0,0,0,0,0.0,0.0,0,5.0,0,0.0,5.0,0,0,0,0,0,1,7.0,0,0.0,8.0,0,0,0,0.0,0.0,1,7.0,0,0.0,8.0,454.0,115,1123.0,226,3.0,0.0,5.0,0.0,7123,1.0,3.0,5.0,7123,1.100000023841858,1577.0,5.0,4.0,175.1999969482422
2022,44,경찰대학,기타,기타,충남,-,1,3.0,0,2,6.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,3.0,0,2.0,6.0,0,0,0,0.0,0.0,1,3.0,0,2.0,6.0,0.0,0,622.0,175,4.0,2.0,0.0,0.0,0,0.0,4.0,0.0,0,0.0,622.0,6.0,0.0,103.69999694824219
2022,45,경희대학교,대학,사립,서울,A그룹,11,6.0,1,1,19.0,0,0,0,0.0,0.0,0,20.0,1,0.0,21.0,0,0,0,0,0,11,26.0,2,1.0,40.0,0,0,0,0.0,0.0,11,26.0,2,1.0,40.0,1045.5,315,308.0,64,18.0,1.0,21.0,0.0,34414,1.0,18.0,21.0,34414,1.100000023841858,1353.5,19.0,22.0,33.0
2022,46,계명대학교,대학,사립,대구,A그룹,11,6.0,2,1,20.0,0,0,0,0.0,0.0,0,6.0,0,3.0,9.0,0,0,0,0,0,11,12.0,2,4.0,29.0,0,0,0,0.0,0.0,11,12.0,2,4.0,29.0,1001.5,455,2133.300048828125,742,19.0,1.0,6.0,3.0,22716,1.100000023841858,19.0,6.0,22716,1.100000023841858,3134.800048828125,20.0,5.0,125.4000015258789
2022,47,계명문화대학교,전문대학,사립,대구,A그룹,0,0.0,2,0,2.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,2.0,0,0,0,0.0,0.0,0,0.0,2,0.0,2.0,39.5,9,98.0,9,2.0,0.0,0.0,0.0,4534,0.4000000059604645,2.0,0.0,4534,0.4000000059604645,137.5,2.0,0.0,68.80000305175781
2022,48,계약신학대학원대학교,대학원대학,사립,경기,-,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
2022,49,계원예술대학교,전문대학,사립,경기,B그룹,0,2.0,0,0,2.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,0,3.0,0,0.0,3.0,0,0,0,0.0,0.0,0,3.0,0,0.0,3.0,77.5,15,0.0,0,2.0,0.0,1.0,0.0,2804,1.0,2.0,1.0,2804,1.100000023841858,77.5,2.0,1.0,25.799999237060547
2022,50,고려대학교,대학,사립,서울,A그룹,12,11.0,1,3,27.0,0,0,0,0.0,0.0,0,12.0,2,3.0,17.0,0,0,0,0,0,12,23.0,3,6.0,44.0,0,0,0,0.0,0.0,12,23.0,3,6.0,44.0,1312.0999755859375,243,535.7999877929688,121,24.0,3.0,14.0,3.0,29445,1.2999999523162842,24.0,14.0,29445,1.2999999523162842,1847.9000244140625,27.0,17.0,42.0
2022,51,고려대학교(세종),대학,사립,세종,B그룹,0,2.0,0,0,2.0,0,0,0,1.0,1.0,0,8.0,0,1.0,9.0,0,0,0,0,0,0,10.0,0,1.0,11.0,0,0,0,1.0,1.0,0,10.0,0,2.0,12.0,0.0,0,184.0,15,2.0,1.0,8.0,1.0,7309,1.2999999523162842,2.0,8.0,7309,1.399999976158142,184.0,3.0,6.0,20.399999618530273
2022,52,고려사이버대학교,대학,사립,서울,A그룹,0,0.0,0,0,0.0,0,0,0,2.0,2.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,2.0,0,0.0,0,2.0,2.0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,10531,0.20000000298023224,0.0,0.0,10531,0.0,0.0,0.0,0.0,0.0
2022,53,고신대학교,대학,사립,부산,C그룹,0,1.0,2,1,4.0,0,0,0,0.0,0.0,0,2.0,0,0.0,2.0,0,0,0,0,0,0,3.0,2,1.0,6.0,0,0,0,0.0,0.0,0,3.0,2,1.0,6.0,176.0,50,60.0,12,3.0,1.0,2.0,0.0,4405,1.2000000476837158,3.0,2.0,4405,1.100000023841858,236.0,4.0,2.0,39.29999923706055
2022,54,공군사관학교,기타,기타,충북,-,3,4.0,0,2,9.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0,0,0,0,0,3,5.0,0,2.0,10.0,0,0,0,0.0,0.0,3,5.0,0,2.0,10.0,156.0,8,69.0,14,7.0,2.0,1.0,0.0,0,0.0,7.0,1.0,0,0.0,225.0,9.0,1.0,22.5
2022,55,공주교육대학교,대학,국립,충남,C그룹,2,2.0,0,0,4.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,2.0,0,0.0,4.0,0,0,0,0.0,0.0,2,2.0,0,0.0,4.0,0.0,0,416.0,91,4.0,0.0,0.0,0.0,1970,2.0,4.0,0.0,1970,2.0,416.0,4.0,0.0,104.0
2022,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0.0,0,0,0.0,0,0,0,2.0,2.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,2.0,2.0,0,0.0,0,2.0,2.0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,1297,1.2000000476837158,0.0,0.0,1297,0.0,0.0,1.0,0.0,0.0
2022,57,광신대학교,대학,사립,광주,C그룹,0,2.0,0,0,2.0,0,0,0,0.0,0.0,0,0.0,0,1.0,1.0,0,0,0,0,0,0,2.0,0,1.0,3.0,0,0,0,0.0,0.0,0,2.0,0,1.0,3.0,56.0,8,5.0,1,2.0,0.0,0.0,1.0,964,2.5999999046325684,2.0,0.0,964,2.0999999046325684,61.0,2.0,1.0,20.299999237060547
2022,58,광양보건대학교,전문대학,사립,전남,C그룹,0,1.0,0,0,1.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,0,0.0,1.0,0,0,0,0.0,0.0,0,1.0,0,0.0,1.0,0.0,0,3.0,1,1.0,0.0,0.0,0.0,160,6.300000190734863,1.0,0.0,160,6.300000190734863,3.0,1.0,0.0,3.0
2022,59,광운대학교,대학,사립,서울,B그룹,2,2.0,0,1,5.0,0,0,0,0.0,0.0,0,6.0,0,0.0,6.0,0,0,0,0,0,2,8.0,0,1.0,11.0,0,0,0,0.0,0.0,2,8.0,0,1.0,11.0,366.0,67,228.0,46,4.0,1.0,6.0,0.0,9807,1.0,4.0,6.0,9807,1.0,594.0,5.0,6.0,54.0
