연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(당해년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2015,49,계원예술대학교,전문대학,사립,경기,B그룹,67622,30095,97717,70989,30876,101865,2,5,9266,0,7,14497,227,119,346,3952,51,4003,3993,0,101865,2889,35.29999923706055,4003,101865,4.099999904632568
2015,50,고려대학교,대학,사립,서울,A그룹,547262,724896,1272158,1418052,1304829,2722881,76,114,292923,0,190,353167,1850,1654,3504,30957,24419,55376,37874,319,2722881,29511,92.30000305175781,55376,2722881,2.0999999046325684
2015,51,고려대학교(세종),대학,사립,세종,B그룹,243657,60528,304185,406181,94994,501175,10,7,7730,0,17,10541,386,42,428,5574,4758,10332,8464,45,501175,7982,62.79999923706055,10332,501175,2.0999999046325684
2015,52,고려사이버대학교,대학,사립,서울,A그룹,0,0,0,3313,0,3313,0,1,3304,0,1,5282,0,0,0,0,0,0,0,0,3313,10044,0.30000001192092896,0,3313,0.0
2015,53,고신대학교,대학,사립,부산,C그룹,0,0,0,259380,153350,412730,20,8,6259,0,28,19960,734,228,962,6474,6482,12956,0,0,412730,5249,78.5999984741211,12956,412730,3.200000047683716
2015,54,공군사관학교,기타,기타,충북,-,0,0,0,184970,35878,220848,5,0,2393,0,5,5546,171,14,185,4898,793,5691,0,4123,220848,0,0.0,5691,220848,2.5999999046325684
2015,55,공주교육대학교,대학,국립,충남,C그룹,108507,4979,113486,277811,14272,292083,3,3,1642,0,6,13991,63,12,75,6200,286,6486,2623,0,292083,2040,143.1999969482422,6486,292083,2.299999952316284
2015,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,6506,13585,20091,7684,13585,21269,0,6,16420,0,6,16420,0,0,0,14314,102,14416,14799,0,21269,1076,19.799999237060547,14416,21269,210.39999389648438
2015,57,광신대학교,대학,사립,광주,C그룹,46450,56831,103281,73426,67809,141235,0,2,4499,0,2,4499,160,49,209,2929,2834,5763,5111,0,141235,938,150.60000610351562,5763,141235,4.300000190734863
2015,58,광양보건대학교,전문대학,사립,전남,C그룹,20870,465,21335,35089,518,35607,0,2,0,0,2,3325,60,0,60,613,0,613,172,0,35607,1984,17.899999618530273,613,35607,1.7999999523162842
2015,59,광운대학교,대학,사립,서울,B그룹,243502,59960,303462,477411,107505,584916,21,21,18213,0,42,68997,363,60,423,24356,3419,27775,17085,0,584916,10106,57.900001525878906,27775,584916,5.0
2015,60,광주가톨릭대학교,대학,사립,전남,C그룹,84278,54766,139044,123291,68993,192284,2,6,15080,0,8,19270,65,79,144,1310,1241,2551,2339,0,192284,118,1629.5,2551,192284,1.2999999523162842
2015,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2015,62,광주교육대학교,대학,국립,광주,C그룹,130200,12227,142427,264917,12227,277144,0,3,7662,0,3,7662,258,40,298,5397,1193,6590,4461,2000,277144,2207,125.5999984741211,6590,277144,2.4000000953674316
2015,63,광주대학교,대학,사립,광주,B그룹,213286,56331,269617,388317,93424,481741,3,9,8302,0,12,37329,420,57,477,7236,177,7413,6272,0,481741,7901,61.0,7413,481741,1.600000023841858
2015,64,광주보건대학교,전문대학,사립,광주,B그룹,93329,5568,98897,177814,10488,188302,3,2,129,0,5,5811,171,24,195,3852,322,4174,2139,0,188302,4123,45.70000076293945,4174,188302,2.299999952316284
2015,65,광주여자대학교,대학,사립,광주,C그룹,133317,19705,153022,195255,27378,222633,5,3,41916,0,8,46874,148,20,168,7614,1271,8885,5112,0,222633,4256,52.29999923706055,8885,222633,4.199999809265137
2015,66,구미대학교,전문대학,사립,경북,A그룹,34212,3674,37886,66735,7810,74545,0,0,1396,0,0,1396,111,0,111,120,482,602,420,0,74545,5492,13.600000381469727,602,74545,0.800000011920929
2015,67,구세군사관대학원대학교,대학원대학,사립,경기,-,0,0,0,20653,1782,22435,0,0,0,0,0,0,115,7,122,337,195,532,308,0,22435,43,521.7000122070312,532,22435,2.4000000953674316
2015,68,국군간호사관학교,기타,기타,대전,-,52959,2948,55907,57901,3081,60982,0,2,0,0,2,0,59,13,72,2355,981,3336,2068,950,60982,0,0.0,3336,60982,5.800000190734863
2015,69,국립강릉원주대학교,대학,국립,강원,B그룹,339721,85875,425596,628751,170121,798872,14,12,38944,0,26,71360,692,217,909,27370,6371,33741,17157,0,798872,8869,90.0999984741211,33741,798872,4.400000095367432
2015,70,국립경국대학교,대학,국립,경북,B그룹,336587,79114,415701,678922,111787,790709,12,13,24545,0,25,31615,467,47,514,8297,4456,12753,7862,0,790709,8192,96.5,12753,790709,1.600000023841858
2015,71,국립공주대학교,대학,국립,충남,A그룹,483343,89998,573341,1026076,169089,1195165,26,26,38186,0,52,99650,629,85,714,22792,2311,25103,12496,0,1195165,17356,68.9000015258789,25103,1195165,2.0999999046325684
2015,72,국립군산대학교,대학,국립,전북,B그룹,232800,45956,278756,508352,92729,601081,13,13,3025,0,26,30534,121,68,189,10659,5694,16353,8836,0,601081,9041,66.5,16353,601081,2.799999952316284
2015,73,국립금오공과대학교,대학,국립,경북,B그룹,155422,33620,189042,342250,58631,400881,15,9,7564,0,24,38259,253,70,323,18243,2156,20399,11701,0,400881,7580,52.900001525878906,20399,400881,5.400000095367432
2015,74,국립목포대학교,대학,국립,전남,B그룹,236405,86948,323353,458128,132869,590997,13,20,10821,0,33,51660,440,84,524,17282,5819,23101,12495,0,590997,9027,65.5,23101,590997,4.099999904632568
2015,75,국립목포해양대학교,대학,국립,전남,C그룹,84007,8217,92224,171836,20111,191947,10,5,13777,0,15,21549,93,47,140,4029,406,4435,2217,0,191947,2714,70.69999694824219,4435,191947,2.4000000953674316
2015,76,국립부경대학교,대학,국립,부산,A그룹,299152,134643,433795,898103,200011,1098114,18,20,28551,0,38,56163,511,199,710,12948,15623,28571,15545,0,1098114,20223,54.29999923706055,28571,1098114,2.700000047683716
2015,77,국립순천대학교,대학,국립,전남,B그룹,303727,69466,373193,620258,127142,747400,20,26,16703,0,46,77674,398,123,521,14824,3975,18799,12417,0,747400,8655,86.4000015258789,18799,747400,2.5999999046325684
