연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2024,114,대구대학교,대학,사립,경북,A그룹,3,5,0,0,8,0,0,0,0,0,0,11,0,1,12,0,0,0,0,0,3,16,0,1,20,0,0,0,0,0,3,16,0,1,20,377,197,598,126,8,0,11,1,16876,1,8,11,16876,1.100000023841858,975,9,14,42.400001525878906
2024,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,116,대구보건대학교,전문대학,사립,대구,A그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,42,9,13,3,2,0,0,0,6500,0.30000001192092896,2,0,6500,0.30000001192092896,55,3,0,18.299999237060547
2024,117,대구사이버대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4691,0,0,0,4691,0,0,0,0,0
2024,118,대구예술대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,7.5,2,60,17,2,0,0,0,278,7.199999809265137,2,0,278,7.199999809265137,67.5,3,0,22.5
2024,119,대구외국어대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,120,대구한의대학교,대학,사립,경북,B그룹,0,3,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0,8,113,16,499,125,3,0,5,0,7105,1,3,5,7105,1.100000023841858,612,3,6,68
2024,121,대덕대학교,전문대학,사립,대전,C그룹,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,90.5,19,47,9,1,0,1,0,1664,1.100000023841858,1,1,1664,1.2000000476837158,137.5,2,1,45.79999923706055
2024,122,대동대학교,전문대학,사립,부산,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,58,13,309,57,1,0,0,0,1476,0.699999988079071,1,0,1476,0.699999988079071,367,1,1,183.5
2024,123,대림대학교,전문대학,사립,경기,A그룹,1,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,1,3,0,0,4,61.5,10,51,11,1,0,3,0,6768,0.5,1,3,6768,0.6000000238418579,112.5,1,3,28.100000381469727
2024,124,대신대학교,대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,26,3,14,3,1,0,0,0,689,1.5,1,0,689,1.5,40,1,0,40
2024,125,대원대학교,전문대학,사립,충북,C그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,0,0,37,8,0,0,1,1,1580,0.800000011920929,0,1,1580,0.6000000238418579,37,0,1,37
2024,126,대전가톨릭대학교,대학,사립,세종,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,45.5,7,22.200000762939453,6,2,0,0,0,53,37.70000076293945,2,0,53,37.70000076293945,67.69999694824219,2,0,33.900001525878906
2024,127,대전과학기술대학교,전문대학,사립,대전,B그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,59,7,96,24,1,0,0,0,3812,0.30000001192092896,1,0,3812,0.30000001192092896,155,2,0,77.5
2024,128,대전대학교,대학,사립,대전,B그룹,0,4,0,0,4,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,11,0,0,11,141,52,371,89,4,0,7,0,8531,1.100000023841858,4,7,8531,1.2999999523162842,512,5,6,46.5
2024,129,대전보건대학교,전문대학,사립,대전,A그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,45,10,18,3,2,0,0,0,4228,0.5,2,0,4228,0.5,63,1,1,31.5
