연도,번호,학교명,학교유형,설립,지역,대학규모,시설-도서관건물연면적 (제곱미터),열람석-총열람석수,설비-정보화기기(PC)수,재학생 1인당 도서관건물 연면적-연면적,재학생수(전년도),재학생 1인당 도서관건물 연면적
2019,238,송곡대학교,전문대학,사립,강원,C그룹,293.0,80,2,293.0,694,0.4000000059604645
2019,239,송원대학교,대학,사립,광주,C그룹,3682.5,643,23,3682.5,2970,1.2000000476837158
2019,240,송호대학교,전문대학,사립,강원,C그룹,736.0,156,11,736.0,981,0.800000011920929
2019,241,수도국제대학원대학교,대학원대학,사립,서울,-,246.0,46,8,246.0,314,0.800000011920929
2019,242,수성대학교,전문대학,사립,대구,B그룹,4295.39990234375,915,33,4295.39990234375,3495,1.2000000476837158
2019,243,수원가톨릭대학교,대학,사립,경기,C그룹,2898.0,182,19,2898.0,182,15.899999618530273
2019,244,수원과학대학교,전문대학,사립,경기,B그룹,4791.0,834,74,4791.0,6425,0.699999988079071
2019,245,수원대학교,대학,사립,경기,B그룹,18747.0,2500,82,18747.0,10388,1.7999999523162842
2019,246,수원여자대학교,전문대학,사립,경기,B그룹,2131.39990234375,388,41,2131.39990234375,4341,0.5
2019,247,숙명여자대학교,대학,사립,서울,A그룹,16496.5,2808,251,16496.5,12367,1.2999999523162842
2019,248,순복음대학원대학교,대학원대학,사립,서울,-,135.0,24,2,135.0,101,1.2999999523162842
2019,249,순복음총회신학교,대학,사립,충북,C그룹,352.0,72,0,352.0,229,1.5
2019,250,순천제일대학교,전문대학,사립,전남,B그룹,4501.0,544,13,4501.0,2570,1.7999999523162842
2019,251,순천향대학교,대학,사립,충남,A그룹,13011.0,1711,110,13011.0,11750,1.100000023841858
2019,252,숭실대학교,대학,사립,서울,A그룹,11575.0,2777,109,11575.0,15979,0.699999988079071
2019,253,숭실사이버대학교,대학,사립,서울,B그룹,0.0,0,0,0.0,5397,0.0
2019,254,숭의여자대학교,전문대학,사립,서울,B그룹,1249.0,272,42,1249.0,3439,0.4000000059604645
2019,255,신경주대학교,대학,사립,경북,C그룹,3430.0,569,26,3430.0,1478,2.299999952316284
2019,256,신구대학교,전문대학,사립,경기,A그룹,5567.0,1595,68,5567.0,6468,0.8999999761581421
2019,257,신라대학교,대학,사립,부산,B그룹,10720.0,2045,203,10720.0,10391,1.0
2019,258,신성대학교,전문대학,사립,충남,B그룹,3762.0,1130,49,3762.0,3821,1.0
2019,259,신안산대학교,전문대학,사립,경기,B그룹,2518.699951171875,476,62,2518.699951171875,4267,0.6000000238418579
2019,260,신한대학교,대학,사립,경기,B그룹,7293.7001953125,1572,91,7293.7001953125,6718,1.100000023841858
2019,261,신흥대학교,전문대학,사립,경기,A그룹,0.0,0,0,0.0,0,0.0
2019,262,실천신학대학원대학교,대학원대학,사립,경기,-,117.0,16,1,117.0,41,2.9000000953674316
2019,263,아신대학교,대학,사립,경기,C그룹,2061.0,443,19,2061.0,1409,1.5
2019,264,아주대학교,대학,사립,경기,A그룹,16382.400390625,2743,98,16382.400390625,13884,1.2000000476837158
2019,265,아주자동차대학교,전문대학,사립,충남,C그룹,639.0,183,6,639.0,1003,0.6000000238418579
2019,266,안동과학대학교,전문대학,사립,경북,B그룹,7391.0,719,56,7391.0,2615,2.799999952316284
2019,267,안산대학교,전문대학,사립,경기,A그룹,4870.60009765625,777,71,4870.60009765625,4376,1.100000023841858
2019,268,안양대학교,대학,사립,경기,B그룹,5334.89990234375,1277,65,5334.89990234375,5404,1.0
2019,269,에스라성경대학원대학교,대학원대학,사립,경기,-,135.0,100,2,135.0,76,1.7999999523162842
2019,270,여주대학교,전문대학,사립,경기,B그룹,6666.0,935,61,6666.0,5369,1.2000000476837158
2019,271,연성대학교,전문대학,사립,경기,A그룹,3047.0,494,72,3047.0,5827,0.5
2019,272,연세대학교,대학,사립,서울,A그룹,68830.0,7148,852,68830.0,30729,2.200000047683716
2019,273,연세대학교(미래),대학,사립,강원,B그룹,10486.0,1878,280,10486.0,7840,1.2999999523162842
2019,274,연암공과대학교,전문대학,사립,경남,C그룹,1533.0,324,14,1533.0,1185,1.2999999523162842
2019,275,연암대학교,전문대학,사립,충남,C그룹,1828.0,235,22,1828.0,1111,1.600000023841858
2019,276,영남대학교,대학,사립,경북,A그룹,35460.1015625,4230,302,35460.1015625,23864,1.5
2019,277,영남사이버대학교,대학,사립,경북,C그룹,0.0,0,0,0.0,0,0.0
2019,278,영남신학대학교,대학,사립,경북,C그룹,3914.0,502,36,3914.0,717,5.5
2019,279,영남외국어대학,전문대학,사립,경북,C그룹,906.0,147,12,906.0,608,1.5
2019,280,영남이공대학교,전문대학,사립,대구,A그룹,3851.0,616,66,3851.0,5592,0.699999988079071
2019,281,영산대학교,대학,사립,경남,B그룹,7856.89990234375,1033,159,7856.89990234375,7230,1.100000023841858
2019,282,영산선학대학교,대학,사립,전남,C그룹,416.0,18,1,416.0,45,9.199999809265137
2019,283,영진전문대학교,전문대학,사립,대구,A그룹,4713.0,1221,99,4713.0,7954,0.6000000238418579
2019,284,예명대학원대학교,대학원대학,사립,서울,-,309.0,50,2,309.0,346,0.8999999761581421
2019,285,예수대학교,대학,사립,전북,C그룹,1076.0,234,16,1076.0,595,1.7999999523162842
2019,286,예원예술대학교,대학,사립,전북,C그룹,946.0,200,12,946.0,1358,0.699999988079071
2019,287,오산대학교,전문대학,사립,경기,A그룹,2685.0,518,80,2685.0,5022,0.5
2019,288,온석대학원대학교,대학원대학,사립,경기,-,199.0,24,3,199.0,262,0.800000011920929
2019,289,용인대학교,대학,사립,경기,B그룹,7677.7001953125,864,158,7677.7001953125,6949,1.100000023841858
2019,290,용인예술과학대학교,전문대학,사립,경기,B그룹,3124.0,670,70,3124.0,3847,0.800000011920929
2019,291,우석대학교,대학,사립,전북,B그룹,16996.400390625,1845,99,16996.400390625,7994,2.0999999046325684
2019,292,우송공업대학,전문대학,사립,대전,B그룹,0.0,0,0,0.0,0,0.0
2019,293,우송대학교,대학,사립,대전,A그룹,20454.0,1037,97,20454.0,10317,2.0
2019,294,우송정보대학,전문대학,사립,대전,B그룹,1453.0,329,42,1453.0,4587,0.30000001192092896
2019,295,울산과학기술원,대학,국립,울산,C그룹,10657.0,1017,104,10657.0,4255,2.5
