연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-패키지,동영상강의자료(e-Learning)-패키지,합계-패키지,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2024,110,대구경북과학기술원,대학,국립,대구,C그룹,80385,158351,238736,87009,172762,259771,46,36,11,0,93,0,0,0,2251,1820,4071,3764,0,259771,1759,147.6999969482422,4071,259771,1.600000023841858
2024,111,대구공업대학교,전문대학,사립,대구,C그룹,74738,2283,77021,112514,3340,115854,0,0,1,0,1,55,0,55,1391,164,1555,1555,0,115854,1294,89.5,1555,115854,1.399999976158142
2024,112,대구과학대학교,전문대학,사립,대구,A그룹,112017,3302,115319,166866,3823,170689,2,1,0,0,3,32,0,32,4360,5,4365,3512,0,170689,4308,39.599998474121094,4365,170689,2.5999999046325684
2024,113,대구교육대학교,대학,국립,대구,C그룹,157297,13212,170509,327932,23903,351835,17,18,4,0,39,486,0,486,6171,234,6405,3309,0,351835,2412,145.89999389648438,6405,351835,1.899999976158142
2024,114,대구대학교,대학,사립,경북,A그룹,580980,250405,831385,1154443,416573,1571016,19,25,4,1,49,310,3,313,10047,9082,19129,13923,45440,1571016,17191,91.4000015258789,19129,1571016,1.2000000476837158
2024,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2024,116,대구보건대학교,전문대학,사립,대구,A그룹,111558,17700,129258,249808,21604,271412,4,4,0,0,8,66,0,66,7616,0,7616,4876,0,271412,6571,41.29999923706055,7616,271412,2.9000000953674316
2024,117,대구사이버대학교,대학,사립,경북,C그룹,17130,0,17130,18200,0,18200,5,0,0,0,5,0,0,0,267,0,267,215,0,18200,4529,4.0,267,18200,1.5
2024,118,대구예술대학교,대학,사립,경북,C그룹,50536,1156,51692,121541,1933,123474,0,0,0,0,0,82,0,82,164,0,164,82,0,123474,429,287.79998779296875,164,123474,0.10000000149011612
2024,119,대구외국어대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2024,120,대구한의대학교,대학,사립,경북,B그룹,285498,115061,400559,525773,158685,684458,19,19,4,2,44,58,24,82,4167,3303,7470,5450,8,684458,6699,102.19999694824219,7470,684458,1.100000023841858
