연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2020,177,부산교육대학교,대학,국립,부산,C그룹,2424,1527,897,79,180,71,571,3325,2457,1527,930,82,177,83,693,3492,0,165394,1395,327,110,50,19,1901,20650,2807,1697,999,105,26258,0,0,32,48,41,15,13,75,61,3,75,23457,2424,9.699999809265137,165394,2424,68.19999694824219
2020,178,부산대학교,대학,국립,부산,A그룹,27830,20346,7484,1335,1916,544,2212,33837,27831,20502,7329,1345,1826,536,2307,33845,0,3255500,12214,3416,1349,1189,1748,19916,139513,60740,41933,21117,40454,303757,0,0,68669,32459,1083,576,852,4271,4791,325,6362,200253,27830,7.199999809265137,3255500,27830,117
2020,179,부산디지털대학교,대학,사립,부산,C그룹,2420,2337,83,18,62,33,1,2534,2442,2366,76,19,63,35,0,2559,0,241,225,8,5,12,0,250,903,72,17,85,0,1077,0,0,0,0,0,0,0,0,0,0,0,975,2420,0.4000000059604645,241,2420,0.10000000149011612
2020,180,부산보건대학교,전문대학,사립,부산,B그룹,3194,3194,0,94,257,47,140,3732,3101,3101,0,94,218,47,167,3627,0,473232,735,0,45,34,33,847,5484,0,410,654,4798,11346,0,0,6,19,5,7,0,0,0,8,540,5484,3194,1.7000000476837158,473232,3194,148.1999969482422
2020,181,부산여자대학교,전문대학,사립,부산,C그룹,2820,2820,0,74,181,81,90,3246,2677,2677,0,74,185,83,200,3219,0,75000,522,0,22,62,45,651,3272,0,368,1285,2411,7336,0,0,250,250,0,0,0,0,0,0,0,3272,2820,1.2000000476837158,75000,2820,26.600000381469727
2020,182,부산예술대학교,전문대학,사립,부산,C그룹,761,761,0,22,94,19,0,896,682,682,0,21,105,19,0,827,0,854,25,0,2,7,0,34,81,0,9,71,0,161,0,0,0,0,0,0,0,0,0,0,0,81,761,0.10000000149011612,854,761,1.100000023841858
2020,183,부산외국어대학교,대학,사립,부산,B그룹,8722,8267,455,266,315,176,583,10062,8570,8088,482,259,276,184,585,9874,0,423060,4810,232,293,151,303,5789,74542,2919,5421,2377,3441,88700,0,0,1664,843,7,56,157,186,28,55,3920,77461,8722,8.899999618530273,423060,8722,48.5
2020,184,부산장신대학교,대학,사립,경남,C그룹,412,227,185,23,22,13,150,620,417,221,196,21,11,14,199,662,0,46344,191,163,27,13,40,434,2770,2767,849,78,220,6684,0,0,1381,384,0,9,0,6,0,0,0,5537,412,13.399999618530273,46344,412,112.5
2020,185,부천대학교,전문대학,사립,경기,A그룹,7710,7710,0,191,387,100,29,8417,7705,7705,0,192,407,101,46,8451,0,212710,1626,0,116,99,3,1844,16484,0,2682,3625,6550,29341,0,0,2,14,21,4,101,13,0,30,1141,16484,7710,2.0999999046325684,212710,7710,27.600000381469727
2020,186,삼육대학교,대학,사립,서울,B그룹,5890,5498,392,204,354,234,2705,9387,5975,5517,458,210,373,235,2261,9054,0,362827,2611,163,102,161,105,3142,12637,2499,1467,2088,44635,63326,0,0,1921,1279,988,17,8,257,20,23,224,15136,5890,2.5999999046325684,362827,5890,61.599998474121094
