연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_봉사대상자수_전년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_전년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_전년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_전년도_직원,봉사대상자수 및 이용자수_봉사대상자수_전년도_기타,봉사대상자수 및 이용자수_봉사대상자수_전년도_계,봉사대상자수 및 이용자수_봉사대상자수_당해년도_재학생수,봉사대상자수 및 이용자수_봉사대상자수_당해년도_학부생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_대학원생,봉사대상자수 및 이용자수_봉사대상자수_당해년도_전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_직원,봉사대상자수 및 이용자수_봉사대상자수_당해년도_기타,봉사대상자수 및 이용자수_봉사대상자수_당해년도_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_대면 이용자 교육_교육횟수,이용자 교육_대면 이용자 교육_교육 참가자수,이용자 교육_비대면 이용자 교육_교육횟수,이용자 교육_비대면 이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2024,389,한국전력국제원자력대학원대학교,대학원대학,사립,울산,-,110,0,110,12,20,50,20,212,109,0,109,11,20,44,20,204,0,203,0,41,17,24,0,82,0,274,157,130,0,561,0,0,0,0,0,0,0,78,78,1,59,0,0,274,110,2.5,203,110,1.7999999523162842
2024,390,한국전통문화대학교,대학,국립,충남,C그룹,849,574,275,36,225,68,27,1205,857,562,295,36,247,71,26,1237,0,16259,489,176,50,102,38,855,7237,2876,1037,2016,427,13593,0,0,0,0,0,33,169,38,16,33,65,0,0,10113,849,11.899999618530273,16259,849,19.200000762939453
2024,391,한국정보통신대학교,대학,사립,대전,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,392,한국철도대학,전문대학,국립,경기,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,393,한국체육대학교,대학,국립,서울,C그룹,3007,2410,597,118,223,153,0,3501,2974,2372,602,121,209,161,92,3557,0,45231,559,150,68,58,34,869,2108,848,502,558,1900,5916,0,0,0,0,0,0,0,23,6,0,0,0,0,2956,3007,1,45231,3007,15
2024,394,한국침례신학대학교,대학,사립,대전,C그룹,1498,798,700,46,101,58,1446,3149,1398,736,662,52,86,55,1513,3104,0,98406,560,573,56,37,355,1581,4382,15070,1333,607,6907,28299,0,0,0,0,0,25,99,50,17,9,126,0,0,19452,1498,13,98406,1498,65.69999694824219
2024,395,한국폴리텍Ⅰ대학서울강서캠퍼스,전문대학,사립,서울,C그룹,497,497,0,32,43,33,0,605,451,451,0,32,38,31,0,552,0,35,8,0,12,0,0,20,17,0,69,22,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,17,497,0,35,497,0.10000000149011612
2024,396,한국폴리텍Ⅰ대학서울정수캠퍼스,전문대학,사립,서울,C그룹,1158,1158,0,67,51,61,20,1357,1080,1080,0,67,59,60,20,1286,0,999,66,0,9,9,0,84,302,0,39,39,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,302,1158,0.30000001192092896,999,1158,0.8999999761581421
2024,397,한국폴리텍Ⅰ대학성남캠퍼스,전문대학,사립,경기,C그룹,613,613,0,48,30,35,111,837,555,555,0,50,32,35,111,783,0,267,39,0,11,12,0,62,170,0,101,89,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,170,613,0.30000001192092896,267,613,0.4000000059604645
2024,398,한국폴리텍Ⅰ대학제주캠퍼스,전문대학,사립,제주,C그룹,48,48,0,4,8,25,0,85,55,55,0,5,7,22,0,89,0,18,7,0,0,11,0,18,47,0,0,89,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,47,48,1,18,48,0.4000000059604645
2024,399,한국폴리텍Ⅱ대학남인천캠퍼스,전문대학,사립,인천,C그룹,101,101,0,9,5,28,0,143,84,84,0,9,6,30,0,129,0,120,22,0,2,0,0,24,146,0,4,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,146,101,1.399999976158142,120,101,1.2000000476837158
2024,400,한국폴리텍Ⅱ대학인천캠퍼스,전문대학,사립,인천,C그룹,1546,1546,0,86,95,51,0,1778,1351,1351,0,76,100,49,0,1576,0,1774,30,0,8,9,0,47,0,33,8,27,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1546,0,1774,1546,1.100000023841858
2024,401,한국폴리텍Ⅱ대학화성캠퍼스,전문대학,사립,경기,C그룹,36,36,0,5,1,29,0,71,35,35,0,5,4,30,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,0
2024,402,한국폴리텍Ⅲ대학강릉캠퍼스,전문대학,사립,강원,C그룹,117,117,0,11,16,27,0,171,102,102,0,7,18,30,0,157,0,2252,16,0,6,11,0,33,71,0,36,117,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,71,117,0.6000000238418579,2252,117,19.200000762939453
