연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_대면교육_참여시간,직원교육현황_대면교육_참여인원,직원교육현황_비대면 실시간 교육_참여시간,직원교육현황_비대면 실시간 교육_참여인원,직원교육현황_온라인 교육_참여시간,직원교육현황_온라인 교육_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2021,34,경북보건대학교,전문대학,사립,경북,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,43,8,23,5,1,0,0,0,1233,0.800000011920929,1,0,1233,0.800000011920929,66,1,0,66
2021,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,36,경북전문대학교,전문대학,사립,경북,B그룹,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,2,0,1,3,21,3,66,10,120,27,2,1,0,0,2736,1,2,0,2736,0.699999988079071,207,3,0,69
2021,37,경상국립대학교,대학,국립,경남,A그룹,6,21,1,0,28,0,2,0,0,2,1,3,0,0,4,0,0,0,0,0,7,24,1,0,32,0,2,0,0,2,7,26,1,0,34,148.5,49,943.5,247,1111.300048828125,233,30,0,4,0,20962,1.600000023841858,30,4,20962,1.600000023841858,2203.300048828125,29,3,68.9000015258789
2021,38,경성대학교,대학,사립,부산,A그룹,2,5,0,0,7,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,2,12,0,0,14,0,0,0,0,0,2,12,0,0,14,397,222,360,128,157,32,7,0,7,0,12972,1,7,7,12972,1.100000023841858,914,8,5,70.30000305175781
2021,39,경안대학원대학교,대학원대학,사립,경북,-,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,58,17.200000762939453,1,0,58,17.200000762939453,3,1,0,3
2021,40,경운대학교,대학,사립,경북,C그룹,0,1,0,1,2,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,3,0,4,7,0,0,45,3,251.5,49,1,1,2,3,4518,1.100000023841858,1,2,4518,0.699999988079071,296.5,2,5,42.400001525878906
2021,41,경인교육대학교,대학,국립,인천,C그룹,2,3,1,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,7,0,1,0,0,1,2,4,1,1,8,7,3,188.39999389648438,30,312.3999938964844,75,7,1,0,0,3973,2,7,0,3973,1.7999999523162842,507.79998779296875,7,1.5,59.70000076293945
2021,42,경인여자대학교,전문대학,사립,인천,B그룹,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,51.5,10,39,9,0,0,1,0,4585,0.20000000298023224,0,1,4585,0.20000000298023224,90.5,0,2,45.29999923706055
2021,43,경일대학교,대학,사립,경북,B그룹,1,1,0,3,5,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,5,0,3,9,0,0,0,0,0,1,5,0,3,9,20,7,225.5,45,599,120,2,3,4,0,7141,1.100000023841858,2,4,7141,0.800000011920929,844.5,4,5,93.80000305175781
2021,44,경찰대학,기타,기타,충남,-,1,3,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,6,0,0,0,0,0,1,3,0,2,6,0,0,0,0,661.4000244140625,192,4,2,0,0,0,0,4,0,0,0,661.4000244140625,6,0,110.19999694824219
2021,45,경희대학교,대학,사립,서울,A그룹,11,6,1,1,19,0,0,0,0,0,0,22,0,0,22,0,0,0,0,0,11,28,1,1,41,0,0,0,0,0,11,28,1,1,41,222,96,382.5,76,90,16,18,1,22,0,34454,1.100000023841858,18,22,34454,1.2000000476837158,694.5,19,24,16.200000762939453
2021,46,계명대학교,대학,사립,대구,A그룹,12,5,2,1,20,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,12,7,2,4,25,0,0,0,0,0,12,7,2,4,25,289.5,274,479.5,115,2120.89990234375,522,19,1,2,3,23449,1,19,2,23449,0.8999999761581421,2889.89990234375,21,4,115.5999984741211
2021,47,계명문화대학교,전문대학,사립,대구,A그룹,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,2,12,6,70,9,39,4,2,0,0,0,4708,0.4000000059604645,2,0,4708,0.4000000059604645,121,2,1,40.29999923706055
