연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(전년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2019,57,광신대학교,대학,사립,광주,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,2,0,1,3,86,4,2,0,0,1,984,2.5,2,0,984,2,86,2,1,28.700000762939453
2019,58,광양보건대학교,전문대학,사립,전남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,30,2,1,0,0,0,1179,0.800000011920929,1,0,1179,0.800000011920929,30,1,0,30
2019,59,광운대학교,대학,사립,서울,B그룹,0,5,0,1,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,11,0,1,12,0,0,0,0,0,0,11,0,1,12,318,61,5,1,6,0,9253,1.100000023841858,5,6,9253,1.2000000476837158,318,6,6,26.5
2019,60,광주가톨릭대학교,대학,사립,전남,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,64.5,3,2,0,0,0,102,19.600000381469727,2,0,102,19.600000381469727,64.5,2,0,32.29999923706055
2019,61,광주과학기술원,대학,국립,광주,C그룹,0,1,0,2,3,0,0,0,0,0,0,3,0,12.300000190734863,15.300000190734863,0,0,0,0,0,0,4,0,14.300000190734863,18.299999237060547,0,0,0,0,0,0,4,0,14.300000190734863,18.299999237060547,84,3,1,2,3,12.300000190734863,2064,5.400000095367432,1,3,2064,1.899999976158142,84,3,15.300000190734863,4.599999904632568
2019,62,광주교육대학교,대학,국립,광주,C그룹,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2,0,2,4,426,18,2,2,0,0,1993,1.7999999523162842,2,0,1993,1,426,4,0,106.5
2019,63,광주대학교,대학,사립,광주,B그룹,1,4,0,0,5,0,0,0,0,0,0,1,0,5,6,0,0,0,0,0,1,5,0,5,11,0,0,0,0,0,1,5,0,5,11,326.5,40,5,0,1,5,7698,1.100000023841858,5,1,7698,0.800000011920929,326.5,5,6,29.700000762939453
2019,64,광주보건대학교,전문대학,사립,광주,B그룹,0,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,1,0,3,0,1,4,64.5,8,3,1,0,0,3810,1,3,0,3810,0.800000011920929,64.5,4,0,16.100000381469727
2019,65,광주여자대학교,대학,사립,광주,C그룹,0,2,0,2,4,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,0,4,6,0,1,0,0,1,0,3,0,4,7,374,9,3,2,0,2,3922,1.399999976158142,3,0,3922,0.800000011920929,374,5,2,53.400001525878906
2019,66,구미대학교,전문대학,사립,경북,A그룹,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,1,0,1,3,160.5,6,1,0,1,1,5391,0.4000000059604645,1,1,5391,0.4000000059604645,160.5,1,2,53.5
