연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_사서자격증 소지자,직원_정규직_사서자격증 미소지자,직원_비정규직_사서자격증 소지자,직원_비정규직_사서자격증 미소지자,직원_합계_사서자격증 소지자,직원_합계_사서자격증 미소지자,직원_합계_계,사서자격증 보유현황_정규직_1급 정사서,사서자격증 보유현황_정규직_2급 정사서,사서자격증 보유현황_정규직_준사서,사서자격증 보유현황_정규직_합계,사서자격증 보유현황_비정규직_1급 정사서,사서자격증 보유현황_비정규직_2급 정사서,사서자격증 보유현황_비정규직_준사서,사서자격증 보유현황_비정규직_합계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(전년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2014,51,고려대학교(세종),대학,사립,세종,B그룹,4,1,4,0,8,1,9,2,2,0,4,0,4,0,4,280,19,4,1,4,0,8017,1,4,4,8017,1,280,5,4,31.100000381469727
2014,52,고려사이버대학교,대학,사립,서울,A그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,9867,0.20000000298023224,1,0,9867,0.10000000149011612,0,1,1,0
2014,53,고신대학교,대학,사립,부산,C그룹,7,0,0,3,7,3,10,0,5,2,7,0,0,0,0,190,17,7,0,0,3,5114,1.7000000476837158,7,0,5114,1.399999976158142,190,7,3,19
2014,54,공군사관학교,기타,기타,충북,-,8,0,0,0,8,0,8,3,5,0,8,0,0,0,0,371,34,8,0,0,0,634,12.600000381469727,8,0,634,12.600000381469727,371,8,0,46.400001525878906
2014,55,공주교육대학교,대학,국립,충남,C그룹,5,1,0,0,5,1,6,1,2,2,5,0,0,0,0,416,53,5,1,0,0,2136,2.700000047683716,5,0,2136,2.299999952316284,416,6,0,69.30000305175781
2014,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,0,924,0,0,0,0,0
2014,57,광신대학교,대학,사립,광주,C그룹,1,1,0,1,1,2,3,0,1,0,1,0,0,0,0,12,1,1,1,0,1,982,2.299999952316284,1,0,982,1,12,2,1,4
2014,58,광양보건대학교,전문대학,사립,전남,C그룹,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,34,1,1,0,0,0,1984,0.5,1,0,1984,0.5,34,1,0,34
2014,59,광운대학교,대학,사립,서울,B그룹,6,1,8,0,14,1,15,2,4,0,6,0,8,0,8,252,42,6,1,8,0,10605,1.2000000476837158,6,8,10605,1.2999999523162842,252,7,8,16.799999237060547
2014,60,광주가톨릭대학교,대학,사립,전남,C그룹,2,0,0,0,2,0,2,0,2,0,2,0,0,0,0,44,2,2,0,0,0,111,18,2,0,111,18,44,2,0,22
