연도,번호,학교명,학교유형,설립,지역,대학규모,직원_정규직_전담_1급 정사서,직원_정규직_전담_2급 정사서,직원_정규직_전담_준사서,직원_정규직_전담_미소지자,직원_정규직_전담_계,직원_정규직_겸직_1급 정사서,직원_정규직_겸직_2급 정사서,직원_정규직_겸직_준사서,직원_정규직_겸직_미소지자,직원_정규직_겸직_계,직원_비정규직_전담_1급 정사서,직원_비정규직_전담_2급 정사서,직원_비정규직_전담_준사서,직원_비정규직_전담_미소지자,직원_비정규직_전담_계,직원_비정규직_겸직_1급 정사서,직원_비정규직_겸직_2급 정사서,직원_비정규직_겸직_준사서,직원_비정규직_겸직_미소지자,직원_비정규직_겸직_계,직원_합계_전담_1급 정사서,직원_합계_전담_2급 정사서,직원_합계_전담_준사서,직원_합계_전담_미소지자,직원_합계_전담_계,직원_합계_겸직_1급 정사서,직원_합계_겸직_2급 정사서,직원_합계_겸직_준사서,직원_합계_겸직_미소지자,직원_합계_겸직_계,직원_합계_계_1급 정사서,직원_합계_계_2급 정사서,직원_합계_계_준사서,직원_합계_계_미소지자,직원_합계_계_계,직원교육현황_참여시간,직원교육현황_참여인원,"재학생 1,000명당 도서관 직원수_정규직_사서","재학생 1,000명당 도서관 직원수_정규직_비사서","재학생 1,000명당 도서관 직원수_비정규직_사서","재학생 1,000명당 도서관 직원수_비정규직_비사서","재학생 1,000명당 도서관 직원수_재학생수(당해년도)","재학생 1,000명당 도서관 직원수_재학생 1,000명당 도서관 직원수","재학생 1,000명당 사서 직원수_사서직원수 정규직","재학생 1,000명당 사서 직원수_사서직원수 비정규직","재학생 1,000명당 사서 직원수_재학생수(당해년도)","재학생 1,000명당 사서 직원수_재학생 1,000명당 사서 직원수",직원 1인당 평균 교육 참여 시간_교육 참여시간,직원 1인당 평균 교육 참여 시간_도서관직원수 정규직,직원 1인당 평균 교육 참여 시간_도서관직원수 비정규직,직원 1인당 평균 교육 참여 시간_직원 1인당 평균 교육 참여 시간
2020,58,광양보건대학교,전문대학,사립,전남,C그룹,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,16,2,1,0,0,0,648,1.5,1,0,648,1.5,16,1,0,16
2020,59,광운대학교,대학,사립,서울,B그룹,3,3,0,1,7,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,3,9,0,1,13,0,0,0,0,0,3,9,0,1,13,533,109,6,1,6,0,9610,1.2000000476837158,6,6,9610,1.2000000476837158,533,6,6,44.400001525878906
2020,60,광주가톨릭대학교,대학,사립,전남,C그룹,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,78.5,12,2,0,0,0,121,16.5,2,0,121,16.5,78.5,2,0,39.29999923706055
2020,61,광주과학기술원,대학,국립,광주,C그룹,0,2,0,8,10,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,2,0,17,19,0,0,0,0,0,0,2,0,17,19,271.5,25,2,8,0,9,2042,6.300000190734863,2,0,2042,1,271.5,3,15.300000190734863,14.800000190734863
2020,62,광주교육대학교,대학,국립,광주,C그룹,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,2,0,2,4,466,38,2,2,0,0,1882,1.899999976158142,2,0,1882,1.100000023841858,466,4,0,116.5
2020,63,광주대학교,대학,사립,광주,B그룹,1,5,0,0,6,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,1,7,0,3,11,0,0,0,0,0,1,7,0,3,11,646.5,135,6,0,2,3,7391,1.2000000476837158,6,2,7391,1.100000023841858,646.5,5,6,58.79999923706055
2020,64,광주보건대학교,전문대학,사립,광주,B그룹,0,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,1,0,3,0,1,4,118,15,3,1,0,0,3733,1,3,0,3733,0.800000011920929,118,4,0,29.5
2020,65,광주여자대학교,대학,사립,광주,C그룹,0,2,0,2,4,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,0,4,6,0,1,0,0,1,0,3,0,4,7,261,45,3,2,0,2,3951,1.399999976158142,3,0,3951,0.800000011920929,261,5,2,37.29999923706055
2020,66,구미대학교,전문대학,사립,경북,A그룹,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,1,1,0,1,3,121,20,1,0,1,1,5066,0.5,1,1,5066,0.4000000059604645,121,1,2,40.29999923706055
2020,67,구세군사관대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,14,3,0,0,1,0,28,28.600000381469727,0,1,28,35.70000076293945,14,0,1,14
2020,68,국군간호사관학교,기타,기타,대전,-,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,94,13,2,0,1,0,0,0,2,1,0,0,94,1,1,47
