ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
189,상지대학교,대학,사립,강원,B그룹,44.64390333166565,44.59155184233042,44.53738357246664,42.74662585794804,68.04529854744152,67.97188795485594,67.97188795485594,67.97188795485594,67.97188795485593,67.97188795485594,68.16093889812625,68.32998,68.727104
190,상지영서대학교,전문대학,사립,강원,B그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,70.8867063030281,70.42423405922206,71.41763395442915,71.41763395442915,71.41763395442916,71.41763395442915,71.41763395442916,71.290535,71.09346
191,서강대학교,대학,사립,서울,A그룹,45.082968071407066,44.905725851180904,44.87562600760505,42.758253833553,69.03081580622924,69.62334136843947,68.87394645267753,70.18669665176007,69.88617661457361,70.02605019208329,70.13660753175976,69.69599,69.77428
192,서경대학교,대학,사립,서울,B그룹,44.40559977544965,44.325768130835336,44.347642342915044,42.74662585794804,68.104153954863,67.99380149682861,67.98970880395143,67.98970880395143,68.15173948107812,68.04386543701065,67.97188795485593,68.25398,68.73507
193,서남대학교,대학,사립,전북,C그룹,44.56457452851137,44.487166054588265,44.487166054588236,42.758253833553,71.47382652701727,71.42449699349785,71.41763395442915,71.41763395442915,71.41763395442916,71.41763395442915,71.41763395442916,71.290535,71.09346
194,서라벌대학교,전문대학,사립,경북,C그룹,44.56457452851137,44.49835689403441,44.50445083924152,42.758253833553,68.92033927003399,68.23149585408984,68.1141228742304,68.04789698333003,70.22520189229112,69.57353884365111,71.16074548808787,70.80113,70.19431
195,서영대학교,전문대학,사립,광주,A그룹,44.408940205339746,44.32910856072542,44.3291085607254,42.74662585794804,68.06613330029725,68.00538255425897,68.00538255425897,68.00538255425897,68.00538255425896,68.00538255425897,68.00538255425896,68.14253,68.30405
196,서울과학기술대학교,대학,국립,서울,A그룹,44.44250501739038,44.54635573469862,44.46693432868129,42.75586285709553,68.15562366130077,68.08947633567135,68.1216676548519,69.54818941790788,68.17810088911955,68.31198103562994,70.17481446215726,69.38773,69.190025
197,서울과학종합대학원대학교,대학원대학,사립,서울,-,44.42849613838276,44.36327278867603,44.34962402313782,42.74662585794804,70.40851183590736,70.35918230238795,68.8128221927362,70.99020331946474,68.0821224733411,69.27968823128093,69.72246172640652,68.91126,69.24446
198,서울교육대학교,대학,국립,서울,C그룹,44.84159580718435,45.11040731483916,44.85441124984116,42.758253833553,68.07440908653204,68.00099849394645,68.00099849394644,68.07645299979153,68.00099849394645,68.00099849394645,68.00099849394644,68.12553,68.37312
199,서울기독대학교,대학,사립,서울,C그룹,44.44635407567844,44.36961833416461,44.592856061991455,42.74662585794804,68.20626498401734,68.05744204619073,68.06873173618575,68.09071587995561,68.0725774104804,70.09996191377247,68.036607293335,68.78809,68.56791
200,서울대학교,대학,국립,서울,A그룹,60.550436011006,61.2534763017903,60.71918984108878,61.08691446192478,71.59187546213018,72.12449163892195,72.40269869118016,77.45174851169331,78.18742899824846,78.18261978970844,77.31537134596049,77.01025,77.01025
