YR,ID,SNM,STYP,FND,RGN,USC,SCR_EST
2022,138,동덕여자대학교,대학,사립,서울,B그룹,67.99856032519618
2022,139,동명대학교,대학,사립,부산,B그룹,67.99272270771166
2022,140,동방문화대학원대학교,대학원대학,사립,서울,-,68.05198967620723
2022,142,동서대학교,대학,사립,부산,B그룹,67.97598064773312
2022,143,동서울대학교,전문대학,사립,경기,A그룹,67.99272270771166
2022,144,동신대학교,대학,사립,전남,B그룹,67.97188795485594
2022,145,동아대학교,대학,사립,부산,A그룹,68.3492037582761
2022,146,동아방송예술대학교,전문대학,사립,경기,B그룹,68.01621344578635
2022,147,동아보건대학교,전문대학,사립,전남,C그룹,68.05744204619074
2022,148,동양대학교,대학,사립,경북,C그룹,67.97188795485594
2022,149,동양미래대학교,전문대학,사립,서울,A그룹,68.21906466746518
2022,151,동원과학기술대학교,전문대학,사립,경남,B그룹,70.30230738394485
2022,152,동원대학교,전문대학,사립,경기,B그룹,69.40227433271708
2022,153,동의과학대학교,전문대학,사립,부산,B그룹,70.33651165892334
2022,154,동의대학교,대학,사립,부산,A그룹,67.98913841495937
2022,155,두원공과대학교,전문대학,사립,경기,B그룹,70.05842386893099
2022,156,디지털서울문화예술대학교,대학,사립,서울,C그룹,71.21535349025069
2022,157,루터대학교,대학,사립,경기,C그룹,68.04789698333003
2022,158,마산대학교,전문대학,사립,경남,A그룹,68.29363326775523
2022,160,명지대학교,대학,사립,서울,A그룹,68.15398347055863
2022,161,명지전문대학,전문대학,사립,서울,A그룹,67.99272270771166
2022,162,목원대학교,대학,사립,대전,B그룹,67.97188795485594
2022,163,목포가톨릭대학교,대학,사립,전남,C그룹,68.04789698333003
2022,164,목포과학대학교,전문대학,사립,전남,B그룹,69.28659440386309
2022,165,문경대학교,전문대학,사립,경북,C그룹,68.08212247334112
2022,166,배재대학교,대학,사립,대전,B그룹,67.97188795485594
2022,167,배화여자대학교,전문대학,사립,서울,B그룹,68.18634503129073
2022,168,백석대학교,대학,사립,충남,A그룹,68.13525184423416
2022,169,백석문화대학교,전문대학,사립,충남,A그룹,70.05842386893099
2022,171,백제예술대학교,전문대학,사립,전북,C그룹,68.17162669683087
2022,172,베뢰아국제대학원대학교,대학원대학,사립,서울,-,65.28900793325252
2022,174,부산가톨릭대학교,대학,사립,부산,C그룹,67.97188795485594
2022,175,부산경상대학교,전문대학,사립,부산,B그룹,67.99272270771166
2022,176,부산과학기술대학교,전문대학,사립,부산,B그룹,67.99272270771166
2022,177,부산교육대학교,대학,국립,부산,C그룹,67.99365860063818
2022,178,부산대학교,대학,국립,부산,A그룹,74.14260041432873
2022,179,부산디지털대학교,대학,사립,부산,C그룹,71.41763395442915
2022,180,부산보건대학교,전문대학,사립,부산,B그룹,67.99272270771166
2022,181,부산여자대학교,전문대학,사립,부산,C그룹,67.99856032519618
2022,182,부산예술대학교,전문대학,사립,부산,C그룹,71.42126995728334
2022,183,부산외국어대학교,대학,사립,부산,B그룹,67.9885343441871
2022,184,부산장신대학교,대학,사립,경남,C그룹,68.04789698333003
2022,185,부천대학교,전문대학,사립,경기,A그룹,67.99272270771166
2022,186,삼육대학교,대학,사립,서울,B그룹,67.98236891064316
2022,187,삼육보건대학교,전문대학,사립,서울,C그룹,67.99856032519618
2022,188,상명대학교,대학,사립,서울,A그룹,68.04629996816502
