연도,번호,학교명,학교유형,설립,지역,대학규모,시설_도서관건물연면적 (제곱미터),시설_열람석_총열람석수,시설_설비_업무용컴퓨터(PC)수,시설_설비_이용자용컴퓨터(PC)수,시설_설비_총 보유컴퓨터(PC)수,재학생 1인당 도서관건물 연면적_연면적,재학생 1인당 도서관건물 연면적_재학생수(당해년도),재학생 1인당 도서관건물 연면적_재학생 1인당 도서관건물 연면적
2016,302,웨스트민스터신학대학원대학교,대학원대학,사립,경기,-,481,100,5,4,9,481,401,1.2000000476837158
2016,303,위덕대학교,대학,사립,경북,C그룹,5933,880,8,36,44,5933,3485,1.7000000476837158
2016,304,유원대학교,대학,사립,충북,C그룹,2886,640,8,52,60,2886,3792,0.800000011920929
2016,305,유한대학교,전문대학,사립,경기,A그룹,3633,677,15,78,93,3633,4892,0.699999988079071
2016,306,육군사관학교,기타,기타,서울,-,6600,500,26,27,53,6600,0,0.0
2016,307,을지대학교,대학,사립,대전,B그룹,5605,1575,14,88,102,5605,5348,1.0
2016,308,이화여자대학교,대학,사립,서울,A그룹,22616,3967,93,288,381,22616,21552,1.0
2016,309,인덕대학교,전문대학,사립,서울,A그룹,4164,816,13,20,33,4164,6314,0.699999988079071
2016,310,인제대학교,대학,사립,경남,B그룹,15252,2354,41,269,310,15252,11407,1.2999999523162842
2016,311,인제대학원대학교,대학원대학,사립,서울,-,0,0,0,0,0,0,0,0.0
2016,312,인천가톨릭대학교,대학,사립,인천,C그룹,3260,234,5,22,27,3260,879,3.700000047683716
2016,313,인천대학교,대학,국립,인천,A그룹,14219,1837,30,184,214,14219,13822,1.0
2016,314,인천전문대학,전문대학,공립,인천,A그룹,0,0,0,0,0,0,0,0.0
2016,315,인하공업전문대학,전문대학,사립,인천,A그룹,1980,406,14,101,115,1980,6616,0.30000001192092896
2016,316,인하대학교,대학,사립,인천,A그룹,26533,3802,92,348,440,26533,20613,1.2999999523162842
2016,317,장로회신학대학교,대학,사립,서울,C그룹,3500,468,18,35,53,3500,2244,1.600000023841858
2016,318,장안대학교,전문대학,사립,경기,B그룹,5573,1197,9,24,33,5573,6041,0.8999999761581421
2016,319,재능대학교,전문대학,사립,인천,B그룹,1386,131,6,85,91,1386,3789,0.4000000059604645
2016,320,전남과학대학교,전문대학,사립,전남,B그룹,2213,828,7,57,64,2213,3985,0.6000000238418579
2016,321,전남대학교,대학,국립,광주,A그룹,34097,4629,76,170,246,34097,24944,1.399999976158142
2016,322,전남도립대학교,전문대학,공립,전남,C그룹,2709,435,9,40,49,2709,1513,1.7999999523162842
2016,323,전북과학대학교,전문대학,사립,전북,C그룹,953,330,2,12,14,953,1647,0.6000000238418579
2016,324,전북대학교,대학,국립,전북,A그룹,45010,4757,75,421,496,45010,22932,2.0
2016,325,전주교육대학교,대학,국립,전북,C그룹,4731,760,18,58,76,4731,1468,3.200000047683716
2016,326,전주기전대학,전문대학,사립,전북,C그룹,706,206,2,2,4,706,1903,0.4000000059604645
2016,327,전주대학교,대학,사립,전북,A그룹,10997,1674,28,171,199,10997,12460,0.8999999761581421
2016,328,전주비전대학교,전문대학,사립,전북,B그룹,1633,182,6,28,34,1633,3494,0.5
2016,329,제네바신학대학원대학교,대학원대학,사립,경기,-,330,60,2,2,4,330,0,0.0
2016,330,제주관광대학교,전문대학,사립,제주,C그룹,1274,287,3,8,11,1274,2300,0.6000000238418579
2016,331,제주국제대학교,대학,사립,제주,C그룹,1504,186,4,21,25,1504,1764,0.8999999761581421
2016,332,제주대학교,대학,국립,제주,A그룹,14621,2503,68,115,183,14621,12421,1.2000000476837158
2016,333,제주한라대학교,전문대학,사립,제주,A그룹,1790,830,6,23,29,1790,4951,0.4000000059604645
2016,334,조선간호대학교,전문대학,사립,광주,C그룹,689,290,2,10,12,689,806,0.8999999761581421
2016,335,조선대학교,대학,사립,광주,A그룹,21344,3233,95,267,362,21344,22282,1.0
2016,336,조선이공대학교,전문대학,사립,광주,B그룹,1870,194,5,23,28,1870,3511,0.5
2016,337,주안대학원대학교,대학원대학,사립,인천,-,314,75,2,10,12,314,60,5.199999809265137
2016,338,중부대학교,대학,사립,충남,B그룹,8502,1483,17,93,110,8502,9717,0.8999999761581421
2016,339,중앙대학교,대학,사립,서울,A그룹,33174,5542,78,345,423,33174,28873,1.100000023841858
2016,340,중앙승가대학교,대학,사립,경기,C그룹,4457,429,7,57,64,4457,273,16.299999237060547
2016,341,중원대학교,대학,사립,충북,C그룹,3470,576,3,17,20,3470,3610,1.0
2016,342,진주교육대학교,대학,국립,경남,C그룹,3425,901,12,54,66,3425,1769,1.899999976158142
2016,343,진주보건대학교,전문대학,사립,경남,B그룹,3319,741,7,92,99,3319,2877,1.2000000476837158
2016,344,차의과학대학교,대학,사립,경기,C그룹,3300,951,6,29,35,3300,2695,1.2000000476837158
2016,345,창신대학교,대학,사립,경남,C그룹,7387,788,10,61,71,7387,1583,4.699999809265137
2016,346,창원문성대학교,전문대학,사립,경남,C그룹,3108,702,8,46,54,3108,3617,0.8999999761581421
2016,347,청강문화산업대학교,전문대학,사립,경기,B그룹,3005,421,10,30,40,3005,3709,0.800000011920929
2016,348,청암대학교,전문대학,사립,전남,B그룹,2002,420,4,8,12,2002,2834,0.699999988079071
2016,349,청운대학교,대학,사립,충남,B그룹,10237,1133,20,102,122,10237,6957,1.5
2016,350,청주교육대학교,대학,국립,충북,C그룹,3287,985,12,95,107,3287,1703,1.899999976158142
2016,351,청주대학교,대학,사립,충북,A그룹,16437,2714,24,223,247,16437,12559,1.2999999523162842
2016,352,초당대학교,대학,사립,전남,C그룹,8654,820,10,56,66,8654,3412,2.5
2016,353,총신대학교,대학,사립,서울,C그룹,8795,1861,20,74,94,8795,4119,2.0999999046325684
2016,354,추계예술대학교,대학,사립,서울,C그룹,899,130,8,12,20,899,1390,0.6000000238418579
2016,355,춘천교육대학교,대학,국립,강원,C그룹,5068,756,9,44,53,5068,1837,2.799999952316284
2016,356,춘해보건대학교,전문대학,사립,울산,B그룹,866,483,3,14,17,866,2635,0.30000001192092896
2016,357,충남대학교,대학,국립,대전,A그룹,26797,4298,54,142,196,26797,24200,1.100000023841858
2016,358,충남도립대학교,전문대학,공립,충남,C그룹,2886,404,11,27,38,2886,1104,2.5999999046325684
2016,359,충북대학교,대학,국립,충북,A그룹,19137,2854,64,219,283,19137,17884,1.100000023841858
2016,360,충북도립대학교,전문대학,공립,충북,C그룹,583,140,3,3,6,583,963,0.6000000238418579
2016,361,충북보건과학대학교,전문대학,사립,충북,B그룹,1725,399,4,9,13,1725,2775,0.6000000238418579
2016,362,충청대학교,전문대학,사립,충북,B그룹,5744,595,9,35,44,5744,4837,1.2000000476837158
2016,363,치유상담대학원대학교,대학원대학,사립,서울,-,210,40,2,3,5,210,191,1.100000023841858
2016,364,칼빈대학교,대학,사립,경기,C그룹,830,210,4,9,13,830,715,1.2000000476837158
2016,365,탐라대학교,대학,사립,제주,C그룹,0,0,0,0,0,0,0,0.0
2016,366,평택대학교,대학,사립,경기,C그룹,3997,584,13,69,82,3997,4645,0.8999999761581421
2016,367,포항공과대학교,대학,사립,경북,C그룹,22241,1303,19,78,97,22241,3238,6.900000095367432
2016,368,포항대학교,전문대학,사립,경북,C그룹,1446,126,4,2,6,1446,2224,0.699999988079071
2016,369,한경국립대학교,대학,국립,경기,B그룹,10599,1380,27,74,101,10599,7102,1.5
2016,370,한국개발연구원국제정책대학원대학교,대학원대학,사립,세종,-,4052,268,10,83,93,4052,754,5.400000095367432
2016,371,한국골프과학기술대학교,전문대학,사립,강원,C그룹,606,126,2,8,10,606,453,1.2999999523162842
2016,372,한국공학대학교,대학,사립,경기,B그룹,4131,996,18,85,103,4131,8108,0.5
2016,373,한국과학기술원,대학,국립,대전,A그룹,19426,1572,51,60,111,19426,10633,1.7999999523162842
2016,374,한국관광대학교,전문대학,사립,경기,C그룹,1806,459,7,35,42,1806,2025,0.8999999761581421
2016,375,한국교원대학교,대학,국립,충북,B그룹,9143,1140,31,63,94,9143,5709,1.600000023841858
2016,376,한국국제대학교,대학,사립,경남,C그룹,3417,663,5,10,15,3417,3682,0.8999999761581421
2016,377,한국기술교육대학교,대학,사립,충남,C그룹,9700,1980,17,108,125,9700,4871,2.0
2016,378,한국농수산대학교,전문대학,국립,전북,C그룹,1195,108,5,3,8,1195,1180,1.0
2016,379,한국방송통신대학교,대학,국립,서울,A그룹,17730,3770,124,399,523,17730,125385,0.10000000149011612
2016,380,한국복지사이버대학교,전문대학,사립,경북,B그룹,31,3,0,3,3,31,1675,0.0
2016,381,한국상담대학원대학교,대학원대학,사립,서울,-,369,62,2,11,13,369,199,1.899999976158142
2016,382,한국성서대학교,대학,사립,서울,C그룹,2921,328,5,30,35,2921,1222,2.4000000953674316
2016,383,한국승강기대학교,전문대학,사립,경남,C그룹,700,178,3,6,9,700,592,1.2000000476837158
2016,384,한국에너지공과대학교,대학,국립,전남,C그룹,0,0,0,0,0,0,0,0.0
2016,385,한국열린사이버대학교,대학,사립,서울,B그룹,0,0,0,0,0,0,4003,0.0
2016,386,한국영상대학교,전문대학,사립,세종,B그룹,1437,295,3,60,63,1437,3445,0.4000000059604645
2016,387,한국예술종합학교,대학,국립,서울,C그룹,5564,401,28,90,118,5564,2583,2.200000047683716
2016,388,한국외국어대학교,대학,사립,서울,A그룹,18434,5124,56,178,234,18434,19131,1.0
2016,389,한국전력국제원자력대학원대학교,대학원대학,사립,울산,-,150,62,2,6,8,150,105,1.399999976158142
2016,390,한국전통문화대학교,대학,국립,충남,C그룹,4182,361,14,31,45,4182,676,6.199999809265137
2016,391,한국정보통신대학교,대학,사립,대전,C그룹,0,0,0,0,0,0,0,0.0
2016,392,한국철도대학,전문대학,국립,경기,C그룹,0,0,0,0,0,0,0,0.0
2016,393,한국체육대학교,대학,국립,서울,C그룹,2192,333,10,15,25,2192,3047,0.699999988079071
2016,394,한국침례신학대학교,대학,사립,대전,C그룹,3863,692,16,20,36,3863,2406,1.600000023841858
2016,395,한국폴리텍Ⅰ대학서울강서캠퍼스,전문대학,사립,서울,C그룹,100,26,3,3,6,100,608,0.20000000298023224
2016,396,한국폴리텍Ⅰ대학서울정수캠퍼스,전문대학,사립,서울,C그룹,396,90,2,11,13,396,1484,0.30000001192092896
2016,397,한국폴리텍Ⅰ대학성남캠퍼스,전문대학,사립,경기,C그룹,328,66,2,0,2,328,1027,0.30000001192092896
2016,398,한국폴리텍Ⅰ대학제주캠퍼스,전문대학,사립,제주,C그룹,0,0,0,0,0,0,0,0.0
2016,399,한국폴리텍Ⅱ대학남인천캠퍼스,전문대학,사립,인천,C그룹,0,0,0,0,0,0,0,0.0
2016,400,한국폴리텍Ⅱ대학인천캠퍼스,전문대학,사립,인천,C그룹,495,84,1,0,1,495,2360,0.20000000298023224
