ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024
94,극동대학교,대학,사립,충북,C그룹,44.26946103373274,44.20409177240834,44.23255915948986,42.73653211331743,67.93727259656602,67.81464510529723,67.59310059505705,67.38093923236578,67.94648507591438,67.52377797625073,67.64551435480779
95,글로벌사이버대학교,대학,사립,충남,C그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,69.93218901569438,69.84027332671347,69.91808489216089,69.78567590973833,69.7492691401794,68.01979115087806,69.9225488581466
96,금강대학교,대학,사립,충남,C그룹,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
97,기독간호대학교,전문대학,사립,광주,C그룹,44.28425222920192,44.21924653758076,44.24204274012018,42.736389579673535,69.07888237316222,68.91020024912683,67.90451355558692,67.76586893129009,67.84692138779094,67.81423203306356,67.86580711357885
98,김천대학교,대학,사립,경북,C그룹,44.267669151400106,44.20936639035279,44.22658676473486,42.738078869701134,67.51004897578262,67.43820327418146,67.96865583239217,67.49787956407518,67.46541466534666,67.79085814949941,67.63853119052847
99,김포대학교,전문대학,사립,경기,C그룹,44.26946103373274,44.20746392561746,44.224773154381865,42.735641822599675,67.85592055840691,67.81933512592475,67.8644829290074,67.6759763445089,69.77053753060542,67.96546066302857,68.23853709897185
100,김해대학교,전문대학,사립,경남,C그룹,44.27327411210967,44.214685964196825,44.23255915948986,42.736931936471315,67.9545407340244,69.1734202376729,69.77693526833464,69.73419022603794,69.72025798828777,67.72536033059124,68.10721437379043
101,나사렛대학교,대학,사립,충남,B그룹,44.285187475819214,44.221992393526335,44.23857913408048,42.73619315110211,67.43628435021097,67.3942182766911,67.40146809762297,67.40958425531792,67.40877827235158,67.34581149928972,67.3171399298165
102,나주대학교,전문대학,사립,전남,C그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,67.84271444185843,67.64782845777404,68.0317561680469,67.63829709994106,67.6154723069804,67.60383626488242,68.2300768625497
103,남부대학교,대학,사립,광주,C그룹,44.272948625750224,44.210366487729246,44.22937108111293,42.736036750135916,67.6938799405103,67.71446697022779,67.85432132531318,67.66137726755926,67.67498779250133,67.66411154163866,67.88898622010034
104,남서울대학교,대학,사립,충남,B그룹,44.2977026371374,44.253083288239544,44.273717883766835,42.73266979447685,67.74470924807882,69.72277726349729,67.0935772324495,67.22394934775369,69.17461533685713,67.29392219998199,67.04008284539535
105,농협대학교,전문대학,사립,경기,C그룹,44.314602044644154,44.25160212894998,44.271806989759476,42.72878084088816,69.80340349867515,69.66809578907396,67.67683305020263,67.66473062062731,67.67780695200526,67.85105830562351,67.77471202107071
106,능인대학원대학교,대학원대학,사립,경기,-,44.26946103373274,44.20409177240834,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
107,단국대학교,대학,사립,경기,A그룹,48.30744521431113,48.62425392273462,49.5567540260638,53.24713241984429,67.35821847648064,67.93436638996744,67.78743282458542,69.77717935697554,69.85858035583578,69.90507063387496,69.72477168161953
108,대경대학교,전문대학,사립,경북,B그룹,44.26092122898234,44.196565554614466,44.22582258502368,42.735641822599675,68.11397978229498,67.92186028695538,68.09951181065307,68.0799864391848,67.8598456203619,67.82676123745414,67.63268593524023
109,대구가톨릭대학교,대학,사립,경북,A그룹,44.36471051075537,44.333312687363026,44.35896440154053,42.709409615042745,67.45306344370206,67.28349918046925,67.09121710440326,66.90344333052215,67.0614458257122,66.8796267616241,67.09929761613185
110,대구경북과학기술원,대학,국립,대구,C그룹,67.02160279964995,67.02160279964994,67.02160279964995,67.02160279964997,67.02160279964994,67.02160279964995,67.02160279964995,67.02160279964995,67.02160279964995,67.02837652111658,67.0283765211166
111,대구공업대학교,전문대학,사립,대구,C그룹,44.27248025283891,44.20564940162494,44.233389624465715,42.73634607984606,67.65825916887052,69.67352209284263,69.69560026577682,67.71444935046833,68.121032105475,68.21899533688934,68.0759479112875
112,대구과학대학교,전문대학,사립,대구,A그룹,44.27066035222826,44.202924350910756,44.219544907890025,42.728972007209755,67.5187773684648,67.48635498861036,67.95392234979192,67.48194088117995,67.44565098950963,67.44213103321795,67.47422435253952
113,대구교육대학교,대학,국립,대구,C그룹,44.31023943372449,44.25559685885775,44.27296911959822,42.71834587136895,67.82115557148168,67.7670972410239,67.74698991125625,67.75453834460627,67.67216614303571,67.73317979273142,67.72743763382356
114,대구대학교,대학,사립,경북,A그룹,44.391020768130836,44.3433153598616,44.35380736554111,42.71245887315179,68.51949189749463,67.28463832815733,68.90022169105056,68.00457344989955,67.97477261164758,67.66489117464656,67.93453487183105
115,대구미래대학교,전문대학,사립,경북,C그룹,44.31170115753809,44.2421913682634,44.26313584835056,42.735641822599675,69.93218901569438,69.92809481279582,69.91808489216089,69.90765040364217,69.90985580391823,69.92254885814661,69.9225488581466
116,대구보건대학교,전문대학,사립,대구,A그룹,44.27212653580314,44.20746392561746,44.2290760788125,42.733762595546544,67.65157594167098,67.6305030753264,67.62930663237722,67.65480791199535,67.64674423302132,67.75205845784647,69.68481008976926
117,대구사이버대학교,대학,사립,경북,C그룹,44.26946103373274,44.20409177240834,44.22582258502368,42.735641822599675,69.92531099637071,69.92121679347214,69.91120687283721,69.89082932013632,69.89897847472572,69.91167152895407,69.91995655310866
118,대구예술대학교,대학,사립,경북,C그룹,44.27550134170376,44.209475032415256,44.24564999799918,42.737816900239444,67.80484647196602,68.0589014367275,67.83411186790258,67.892303796244,67.02837652111658,67.02837652111658,67.0283765211166
119,대구외국어대학교,대학,사립,경북,C그룹,44.32204609304746,44.2606773885334,44.280071108038534,42.72689750180375,69.93218901569438,69.92809481279582,69.91808489216089,69.90765040364217,69.90985580391823,69.92254885814661,69.9225488581466
120,대구한의대학교,대학,사립,경북,B그룹,44.32563382988789,44.27003259823913,44.27205145825395,42.72793234623667,67.2761996196235,67.26693943234702,67.30276051846701,67.30376810990937,67.32193826252248,67.30705464372582,67.55687247786433
121,대덕대학교,전문대학,사립,대전,C그룹,44.27078384256642,44.20586036281552,44.22936915449687,42.73577497477359,67.78258856481676,67.65119649573448,67.55115952334694,67.52255428951077,67.55501640418755,67.84462874786237,67.45018638165375
122,대동대학교,전문대학,사립,부산,C그룹,44.262233211384,44.201866940627816,44.220225600034034,42.7334220158364,67.72421902624342,67.87003660439801,67.6707251479398,67.65380061665383,67.69175417979758,67.6583659059338,67.6646016961098
123,대림대학교,전문대학,사립,경기,A그룹,44.272419611487514,44.20248131548402,44.24828508071035,42.73258672713154,67.78637405871095,69.71819492554542,67.73720281077613,67.73803166740663,67.7298586457825,67.71234132061574,68.49203637747121
124,대신대학교,대학,사립,경북,C그룹,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,68.0413441610724,67.8273791747705,67.77897939067775,67.80730531947925,67.9097710934396
125,대원대학교,전문대학,사립,충북,C그룹,44.26405213104123,44.19933896875066,44.220238863491595,42.73543439506345,67.68575722787673,67.68892083208654,67.68323134795953,67.70603177066485,67.64415735230943,67.63750693247968,67.74303619588942
126,대전가톨릭대학교,대학,사립,세종,C그룹,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
127,대전과학기술대학교,전문대학,사립,대전,B그룹,44.31528956228954,44.21773207750382,44.27036111865192,42.738799912949354,69.6370987627509,69.42684164315952,67.31266130558248,67.43552444787498,69.10156202040709,67.5090326254864,67.58886483735667
128,대전대학교,대학,사립,대전,B그룹,44.32080610874631,44.24116011856499,44.261905892517305,42.74365448938138,67.53502626047464,67.25276661693779,67.17014060265417,66.89839748164475,66.76431810741595,66.88582752291995,66.79194945754739
129,대전보건대학교,전문대학,사립,대전,A그룹,44.27261717589976,44.207757001301836,44.23031184485804,42.7334220158364,68.18866538704854,68.14137523004369,69.6870089607453,67.538843055093,67.73483907849395,67.76762433269224,67.90307394648426
130,대전신학대학교,대학,사립,대전,C그룹,67.02837652111658,67.02837652111657,67.02837652111658,67.02837652111661,67.02837652111657,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.02837652111658,67.0283765211166
131,대진대학교,대학,사립,경기,B그룹,44.28629494936421,44.25046793112283,44.272073750927056,42.7292197858502,67.15044111584871,67.47028075738676,67.97350214600218,67.7725213494235,67.391726561482,69.28316866054638,69.30725590331566
