연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료-종수-국내서,국외서,계,책수-국내서,국외서,계,전자자료-전자저널-패키지,웹DB-패키지,[구독] e-Book-종수,동영상강의자료(e-Learning)-패키지,합계-패키지,종수,연속간행물-국내,국외,합계,연간 장서 증가 및 폐기 책수-연간 장서 증가 책수-구입,기증,합계,연간 장서 증가 종수,연간 장서 폐기 책수,재학생 1인당 소장도서수-소장도서수,재학생수(전년도),재학생 1인당 소장도서수,연간장서증가율-연간장서증가책수,소장도서수,연간장서증가율
2020,61,광주과학기술원,대학,국립,광주,C그룹,65503,166665,232168,83372,182464,265836,22,11,138587,2,35,138587,0,0,0,4824,979,5803,4104,550,265836,2052,129.5,5803,265836,2.200000047683716
2020,62,광주교육대학교,대학,국립,광주,C그룹,182500,29524,212024,275464,35641,311105,0,4,13191,0,4,13191,76,10,86,4518,2626,7144,4746,0,311105,1921,161.89999389648438,7144,311105,2.4000000953674316
2020,63,광주대학교,대학,사립,광주,B그룹,277259,58651,335910,492343,96902,589245,7,9,41906,5,21,41906,328,53,381,20768,9205,29973,19604,0,589245,7301,80.69999694824219,29973,589245,5.400000095367432
2020,64,광주보건대학교,전문대학,사립,광주,B그룹,105163,5706,110869,198517,10597,209114,2,2,9356,3,7,9356,66,18,84,2372,546,2918,1442,0,209114,3778,55.400001525878906,2918,209114,1.399999976158142
2020,65,광주여자대학교,대학,사립,광주,C그룹,181306,34091,215397,276310,42260,318570,9,8,83271,0,17,83271,60,0,60,9684,1999,11683,8801,0,318570,3845,82.9000015258789,11683,318570,3.799999952316284
2020,66,구미대학교,전문대학,사립,경북,A그룹,45782,472,46254,192828,2750,195578,1,1,1125,0,2,1125,110,0,110,5459,444,5903,1126,0,195578,5255,37.20000076293945,5903,195578,3.0999999046325684
2020,67,구세군사관대학원대학교,대학원대학,사립,경기,-,23988,1988,25976,23988,1988,25976,1,0,0,0,1,0,59,5,64,327,121,448,316,0,25976,37,702.0999755859375,448,25976,1.7999999523162842
2020,68,국군간호사관학교,기타,기타,대전,-,60156,3141,63297,66409,3418,69827,4,5,5205,0,9,5205,122,6,128,3365,706,4071,1769,0,69827,0,0.0,4071,69827,6.199999809265137
2020,69,국립강릉원주대학교,대학,국립,강원,B그룹,328257,84833,413090,698324,176587,874911,15,16,42420,2,33,42420,709,14,723,8104,3083,11187,11091,0,874911,8473,103.30000305175781,11187,874911,1.2999999523162842
2020,70,국립경국대학교,대학,국립,경북,B그룹,356523,78310,434833,750877,119533,870410,10,10,32839,3,23,32839,130,7,137,18623,4410,23033,8487,1436,870410,7331,118.69999694824219,23033,870410,2.700000047683716
2020,71,국립공주대학교,대학,국립,충남,A그룹,497306,106438,603744,1159286,173755,1333041,20,22,78763,1,43,78763,422,77,499,24474,5664,30138,15790,0,1333041,15712,84.80000305175781,30138,1333041,2.299999952316284
