연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,112,대구과학대학교,전문대학,사립,대구,A그룹,90621,3103,93724,143751,3591,147342,1,1,8949,1,3,8949,60,0,60,5234,1,5235,3790,0,147342,4257,34.599998474121094,5235,147342,3.700000047683716
2018,113,대구교육대학교,대학,국립,대구,C그룹,137014,12674,149688,289422,22948,312370,0,11,4254,0,11,4254,505,58,563,7851,1022,8873,4708,2379,312370,2674,116.80000305175781,8873,312370,2.9000000953674316
2018,114,대구대학교,대학,사립,경북,A그룹,517403,230948,748351,1163189,405294,1568483,8,14,29583,2,24,29583,601,68,669,19423,4598,24021,14507,29368,1568483,19568,80.19999694824219,24021,1568483,1.600000023841858
2018,115,대구미래대학교,전문대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,116,대구보건대학교,전문대학,사립,대구,A그룹,83913,17448,101361,203901,20954,224855,3,5,16763,1,9,16763,110,10,120,7061,748,7809,3198,0,224855,6772,33.20000076293945,7809,224855,3.5999999046325684
2018,117,대구사이버대학교,대학,사립,경북,C그룹,15512,0,15512,16080,0,16080,5,0,15512,0,5,15512,0,0,0,345,0,345,318,0,16080,4391,3.700000047683716,345,16080,2.200000047683716
2018,118,대구예술대학교,대학,사립,경북,C그룹,44943,1143,46086,110191,1919,112110,0,0,11174,0,0,11174,89,4,93,4648,0,4648,2150,0,112110,1344,83.4000015258789,4648,112110,4.300000190734863
2018,119,대구외국어대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,120,대구한의대학교,대학,사립,경북,B그룹,254915,77692,332607,475741,120876,596617,7,13,31087,1,21,31087,285,27,312,17021,2643,19664,15955,0,596617,7105,84,19664,596617,3.4000000953674316
2018,121,대덕대학교,전문대학,사립,대전,C그룹,59690,882,60572,97835,1219,99054,3,4,22409,2,9,22409,119,4,123,6470,2992,9462,6851,0,99054,4084,24.299999237060547,9462,99054,10.600000381469727
2018,122,대동대학교,전문대학,사립,부산,C그룹,46687,1081,47768,51340,1153,52493,2,4,10511,0,6,10511,81,5,86,3154,320,3474,3193,0,52493,1489,35.29999923706055,3474,52493,7.099999904632568
2018,123,대림대학교,전문대학,사립,경기,A그룹,82112,23385,105497,134643,24659,159302,3,0,28490,2,5,28490,118,0,118,8636,14133,22769,17532,0,159302,6289,25.299999237060547,22769,159302,16.700000762939453
