연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수-재학생수(전년도),봉사대상자수-학부생,대학원생,전임교원,비전임교원,직원,기타,계,학과수,이용자수-도서관 이용자수,대출현황-대출자수-학부생,대학원생,교원,직원,기타,계,대출책수-학부생,대학원생,교원,직원,기타,계,참고서비스 및 상호협력-참고서비스 신청 및 제공 건수 (2010년 이전)-신청,제공,참고서비스 제공 건수 (2010년 이후)-면담,전화,온라인,상호대차 신청 및 제공 건수-신청,제공,원문복사 신청 및 제공 건수-신청,제공,이용자 교육-교육횟수,교육 참가자수,재학생 1인당 대출책수-대출책수,재학생수(전년도),재학생 1인당 대출책수,재학생 1인당 도서관방문자수-방문자수,재학생수(전년도),재학생 1인당 도서관방문자수
2019,63,광주대학교,대학,사립,광주,B그룹,7698,7277,421,258,234,111,1984,10285,0,138226,2081,50,102,79,179,2491,33932,416,1906,1044,5722,43020,0,0,2141,630,94,12,71,27,46,43,1624,34348,7698,4.5,138226,7698,18.0
2019,64,광주보건대학교,전문대학,사립,광주,B그룹,3810,3810,0,103,189,62,46,4210,0,40178,553,0,37,25,10,625,2816,0,293,342,23,3474,0,0,3,5,0,0,8,1,6,2,283,2816,3810,0.699999988079071,40178,3810,10.5
2019,65,광주여자대학교,대학,사립,광주,C그룹,3922,3684,238,136,62,76,81,4277,0,177827,1931,66,62,76,81,2216,10841,461,815,1141,8412,21670,0,0,100,100,5,0,0,94,0,28,859,11302,3922,2.9000000953674316,177827,3922,45.29999923706055
2019,66,구미대학교,전문대학,사립,경북,A그룹,5391,5391,0,126,246,60,4,5827,0,7791,902,0,8,16,4,930,2887,0,37,162,21,3107,0,0,5,3,0,1,1,0,0,17,691,2887,5391,0.5,7791,5391,1.399999976158142
2019,67,구세군사관대학원대학교,대학원대학,사립,경기,-,37,0,37,10,8,9,7,71,0,950,0,37,9,5,6,57,0,890,42,39,42,1013,0,0,84,5,0,0,0,0,0,0,0,890,37,24.100000381469727,950,37,25.700000762939453
2019,68,국군간호사관학교,기타,기타,대전,-,0,0,0,0,0,0,520,520,0,65562,290,0,44,29,33,396,4288,0,419,539,237,5483,0,0,43,20,58,3,0,15,0,11,432,4288,0,0.0,65562,0,0.0
2019,69,국립강릉원주대학교,대학,국립,강원,B그룹,8470,7848,622,372,382,336,760,10320,0,586610,4472,321,394,255,556,5998,36838,2939,9611,3114,8040,60542,0,0,1319,1606,299,115,151,424,112,50,1543,39777,8470,4.699999809265137,586610,8470,69.30000305175781
2019,70,국립경국대학교,대학,국립,경북,B그룹,7477,6948,529,305,424,271,158,8635,0,308492,3449,265,235,179,75,4203,29443,4053,3830,2222,1221,40769,0,0,91,343,168,205,15,314,45,58,1681,33496,7477,4.5,308492,7477,41.29999923706055
2019,71,국립공주대학교,대학,국립,충남,A그룹,15670,13119,2551,559,783,388,1627,19027,0,1146184,6861,850,264,273,434,8682,58251,8925,4531,3861,21578,97146,0,0,742,252,247,160,168,301,143,36,1247,67176,15670,4.300000190734863,1146184,15670,73.0999984741211
2019,72,국립군산대학교,대학,국립,전북,B그룹,7890,7042,848,340,288,277,393,9188,0,724435,2656,259,210,163,176,3464,30185,3242,4124,3491,6039,47081,0,0,10472,9591,143,147,49,369,32,29,788,33427,7890,4.199999809265137,724435,7890,91.80000305175781
2019,73,국립금오공과대학교,대학,국립,경북,B그룹,6567,5916,651,223,216,190,343,7539,0,364566,3638,268,130,165,151,4352,32581,3015,2139,2877,2745,43357,0,0,0,0,9,29,34,69,22,11,126,35596,6567,5.400000095367432,364566,6567,55.5
2019,74,국립목포대학교,대학,국립,전남,B그룹,8140,7221,919,312,406,257,559,9674,0,188248,2851,221,136,154,94,3456,16753,1608,1661,1484,5733,27239,0,0,1100,2360,520,181,21,214,6,16,283,18361,8140,2.299999952316284,188248,8140,23.100000381469727
2019,75,국립목포해양대학교,대학,국립,전남,C그룹,2758,2647,111,119,81,181,103,3242,0,50273,874,22,36,46,20,998,5145,231,957,434,3388,10155,0,0,680,65,0,0,0,0,0,9,149,5376,2758,1.899999976158142,50273,2758,18.200000762939453
2019,76,국립부경대학교,대학,국립,부산,A그룹,18962,16597,2365,599,908,536,12709,33714,0,1185858,8460,949,423,252,1228,11312,57768,8699,6721,2942,44305,120435,0,0,4088,13800,143,178,129,1358,115,63,2113,66467,18962,3.5,1185858,18962,62.5
2019,77,국립순천대학교,대학,국립,전남,B그룹,7771,7007,764,323,372,266,12814,21546,0,0,3519,294,200,154,527,4694,26964,2575,2883,2247,19338,54007,0,0,646,111,12221,74,32,453,24,33,1186,29539,7771,3.799999952316284,0,7771,0.0
2019,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,65,0,65,18,84,5,0,172,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.0,26000,65,400.0
2019,79,국립창원대학교,대학,국립,경남,B그룹,9480,8059,1421,332,575,317,2096,12800,0,1006670,4355,463,258,226,721,6023,28754,5252,4425,3229,16219,57879,0,0,1816,1589,35,168,51,410,64,31,732,34006,9480,3.5999999046325684,1006670,9480,106.19999694824219
2019,80,국립한국교통대학교,대학,국립,충북,B그룹,8962,8356,606,333,335,256,318,10204,0,262925,3606,95,163,185,98,4147,30516,1166,2425,3300,1045,38452,0,0,1750,2903,61,2,0,16,0,24,987,31682,8962,3.5,262925,8962,29.299999237060547
2019,81,국립한국해양대학교,대학,국립,부산,B그룹,7596,6700,896,272,445,291,308,8912,0,540946,3267,223,176,183,73,3922,20749,2233,2356,2379,688,28405,0,0,731,455,135,75,85,353,41,64,1894,22982,7596,3.0,540946,7596,71.19999694824219
2019,82,국립한밭대학교,대학,국립,대전,B그룹,9231,8697,534,270,460,187,698,10846,0,410275,3407,157,222,157,334,4277,21416,1527,3928,3161,9654,39686,0,0,5100,1896,250,35,102,207,0,29,925,22943,9231,2.5,410275,9231,44.400001525878906
2019,83,국민대학교,대학,사립,서울,A그룹,18257,15290,2967,628,1109,435,4190,24619,0,1189340,9179,1308,516,285,240,11528,60059,14166,9398,5905,44687,134215,0,0,6285,1610,1025,204,291,652,250,102,1779,74225,18257,4.099999904632568,1189340,18257,65.0999984741211
2019,84,국방대학교,기타,기타,충남,-,0,0,0,0,0,0,888,888,0,45241,0,362,145,285,677,1469,0,8054,2534,5485,15732,31805,0,0,6300,1200,0,14,2,13,8,12,687,8054,0,0.0,45241,0,0.0
2019,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,277,0,277,17,16,21,20,351,0,37,0,26,5,5,2,38,0,519,111,10,1,641,0,0,30,75,0,2,2,4,4,2,100,519,277,1.899999976158142,37,277,0.10000000149011612
2019,86,국제대학교,전문대학,사립,경기,B그룹,3895,3895,0,109,209,56,30,4299,0,42610,425,0,41,48,16,530,1413,0,449,270,1555,3687,0,0,728,38,0,0,0,7,0,33,1218,1413,3895,0.4000000059604645,42610,3895,10.899999618530273
2019,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2019,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,132,0,132,5,0,6,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0.0,0,132,0.0
2019,89,국제사이버대학교,대학,사립,경기,C그룹,2942,2942,0,15,125,34,300,3416,0,288,290,0,2,2,0,294,355,0,2,2,0,359,0,0,0,0,0,0,0,0,0,1,19,355,2942,0.10000000149011612,288,2942,0.10000000149011612
2019,90,국제언어대학원대학교,대학원대학,사립,서울,-,87,0,87,4,7,10,100,208,0,150,0,63,8,7,41,119,0,2330,76,280,343,3029,0,0,50,20,10,0,0,0,0,4,60,2330,87,26.799999237060547,150,87,1.7000000476837158
2019,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,596,50,0,4,5,0,59,61,0,11,5,0,77,0,0,0,0,0,0,0,0,0,0,0,61,0,0.0,596,0,0.0
2019,92,군산간호대학교,전문대학,사립,전북,C그룹,1136,1136,0,30,41,27,63,1297,0,29658,762,0,15,16,37,830,6703,0,444,160,292,7599,0,0,465,155,78,0,1,0,0,4,79,6703,1136,5.900000095367432,29658,1136,26.100000381469727
2019,93,군장대학교,전문대학,사립,전북,C그룹,1897,1897,0,55,152,51,0,2155,0,20681,149,0,6,9,0,164,3125,0,22,74,0,3221,0,0,184,68,0,0,0,0,0,14,275,3125,1897,1.600000023841858,20681,1897,10.899999618530273
2019,94,극동대학교,대학,사립,충북,C그룹,3953,3874,79,148,190,58,175,4524,0,2648,2062,2,234,58,175,2531,3772,9,989,517,2579,7866,0,0,0,0,0,0,0,2,0,0,0,3781,3953,1.0,2648,3953,0.699999988079071
2019,95,글로벌사이버대학교,대학,사립,충남,C그룹,2151,2151,0,16,126,37,3541,5871,0,842,75,0,6,4,11,96,411,0,14,19,88,532,0,0,0,0,0,0,0,0,0,0,0,411,2151,0.20000000298023224,842,2151,0.4000000059604645
2019,96,금강대학교,대학,사립,충남,C그룹,545,527,18,28,55,40,18,686,0,133322,321,18,25,25,7,396,3246,643,415,357,41,4702,0,0,91,33,0,0,0,3,5,1,23,3889,545,7.099999904632568,133322,545,244.60000610351562
2019,97,기독간호대학교,전문대학,사립,광주,C그룹,632,632,0,21,17,17,0,687,0,12300,212,0,13,2,0,227,1347,0,160,13,1485,3005,0,0,120,30,0,0,0,0,0,1,170,1347,632,2.0999999046325684,12300,632,19.5
