연도,번호,학교명,학교유형,설립,지역,대학규모,결산-대학총결산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,예산-대학총예산,도서자료 구입비,연속간행물 구입비,비도서자료 구입비,전자자료 구입비-전자저널,웹DB,[구독] e-book,기타 전자자료,자료구입비계,재학생 1인당 자료구입비(결산)-자료구입비,재학생수(전년도),재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율-자료구입비,대학총결산,대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)-자료구입비(결산)-2020년(A),2021년(B),2022년(C),최근 3년간 자료구입비 증가율(결산)
2022,39,경안대학원대학교,대학원대학,사립,경북,-,389756982,169700,0,0,0,0,0,0,169700,451558445,1000000,0,0,0,0,0,0,1000000,169700,58,2925.9,169700,389756982,0.0,439300,409200,169700,-32.7
2022,40,경운대학교,대학,사립,경북,C그룹,55958982629,146664530,24403800,5719120,54208000,16269611,0,0,247265061,55020898000,146000000,25000000,6000000,54500000,16500000,0,0,248000000,247265061,4518,54728.9,247265061,55958982629,0.4,145823826,350310247,247265061,55.4
2022,41,경인교육대학교,대학,국립,인천,C그룹,47858416597,199755560,7694990,0,96910157,22258216,0,49945057,376563980,45419443000,199000000,4700000,1000000,100000000,23000000,0,53000000,380700000,376563980,3973,94780.8,376563980,47858416597,0.8,399646008,394593804,376563980,-2.9
2022,42,경인여자대학교,전문대학,사립,인천,B그룹,45992022843,100887450,5810849,2687500,13643000,4348962,0,0,127377761,46290380000,101500000,6500000,3000000,13900000,4520000,0,0,129420000,127377761,4585,27781.4,127377761,45992022843,0.3,117078919,117523795,127377761,4.4
2022,43,경일대학교,대학,사립,경북,B그룹,79999009439,193918765,11774780,2287620,96410533,40512113,0,54092380,398996191,82759071620,155000000,10000000,2000000,81500000,42000000,0,111500000,402000000,398996191,7141,55874.0,398996191,79999009439,0.5,412727327,392617716,398996191,-1.6
2022,44,경찰대학,기타,기타,충남,-,0,120268833,40543463,4225085,0,43735000,0,0,208772381,0,130000000,11880000,5000000,0,50500000,0,0,197380000,208772381,0,0.0,208772381,0,0.0,208772381,208772381,208772381,0.0
2022,45,경희대학교,대학,사립,서울,A그룹,473511323201,643294614,10821364,2345690,4289817724,1140443549,0,325671132,6412394073,488908939000,604186916,11500000,2400000,3429000000,1130113000,0,183000000,5360199916,6412394073,34454,186114.6,6412394073,473511323201,1.4,5460519881,5415872525,6412394073,8.8
2022,46,계명대학교,대학,사립,대구,A그룹,292309727173,441633499,22268520,9991860,754105499,619888498,0,538439819,2386327695,308344079000,353000000,23000000,10000000,895000000,682000000,0,500000000,2463000000,2386327695,23449,101766.7,2386327695,292309727173,0.8,2886437827,2550893012,2386327695,-9.0
2022,47,계명문화대학교,전문대학,사립,대구,A그룹,51769721424,72834146,914800,6139244,10750000,8972929,0,3500000,103111119,56640000000,69000000,1000000,7000000,8500000,8000000,0,3500000,97000000,103111119,4708,21901.3,103111119,51769721424,0.2,114588674,108793571,103111119,-5.1
2022,48,계약신학대학원대학교,대학원대학,사립,경기,-,366757295,36000,0,0,0,0,0,0,36000,244525000,3528000,0,0,0,0,0,0,3528000,36000,9,4000.0,36000,366757295,0.0,7676350,2973040,36000,-80.0
