ID,SNM,STYP,FND,RGN,USC,SCR_EST_2014,SCR_EST_2015,SCR_EST_2016,SCR_EST_2017,SCR_EST_2018,SCR_EST_2019,SCR_EST_2020,SCR_EST_2021,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
13,강원관광대학교,전문대학,사립,강원,C그룹,44.43245671625527,44.29968963857976,44.302965890204774,42.7488514975811,67.86149290929528,68.30415845192844,69.80338301017838,67.62903795816077,70.95742982156425,70.99045076620045,71.27705654066459,71.31372,70.28722
14,강원대학교,대학,국립,강원,A그룹,44.71569621621187,44.359042698405666,44.52799339881852,42.7488514975811,69.33443640367673,71.95519115088635,72.20745316270644,72.54262654850652,72.2612285280509,72.17301040390484,72.14999638785024,71.81367,71.86282
15,강원도립대학교,전문대학,공립,강원,C그룹,44.438995247095946,44.399396080042045,44.357141742147874,42.7488514975811,67.89155932892787,67.83614907959348,68.15306460823578,67.86086548844646,67.90062207884294,67.89259361721393,69.14599302855436,68.4544,68.58577
16,개신대학원대학교,대학원대학,사립,서울,-,44.83999981132941,44.83626366574691,44.85504199236115,42.769155317417166,68.56139677865701,68.33453437513496,69.57751198694693,68.06920592058593,68.74638758121118,68.0714362986972,68.4784548441862,68.5549,69.42548
17,거제대학교,전문대학,사립,경남,C그룹,44.43287034196177,44.29640227488843,44.470398255473384,42.7488514975811,69.21712482165725,68.78072640328743,68.05529128687384,67.87191102394132,69.13202619579793,67.79201744494158,69.07399201149971,69.22077,68.56887
18,건국대학교,대학,사립,서울,A그룹,44.86693049326563,44.778947044482855,44.76718801233708,42.7488514975811,72.25241103658642,71.79683276519748,72.58440060024847,72.00648303347208,72.43871868339212,71.61573488707266,72.5806159238573,72.16339,72.453865
19,건국대학교(글로컬),대학,사립,충북,B그룹,44.43208096410555,44.306357237782045,44.30557837783616,42.7488514975811,67.37444967835344,67.48456284497584,66.90442305066865,69.85272836055299,67.19143811358036,67.18659363280622,67.20358766061571,67.41467,67.434814
20,건동대학교,대학,사립,경북,C그룹,44.4330839992722,44.300530578907114,44.30774031608384,42.7488514975811,71.32670478921851,71.28162753246613,71.27524525896715,71.27524525896715,71.27705654066459,71.27705654066456,71.27705654066459,71.26592,71.10581
21,건신대학원대학교,대학원대학,사립,대전,-,44.79066116002514,44.68181634085367,44.68832551938359,42.769155317417166,69.59532477322207,69.17874791854607,68.18577628087117,69.08304009168208,68.08358283090939,68.11479526668573,68.1073499669351,68.336655,68.598656
22,건양대학교,대학,사립,충남,B그룹,44.422016835874494,44.28389951632839,44.333462094879366,42.7488514975811,69.42298420515112,67.2921678841732,68.55646825543072,67.47534728670945,67.46990264982642,67.55840054253123,68.77580113842542,68.24791,67.58753
23,경기과학기술대학교,전문대학,사립,경기,A그룹,44.4330839992722,44.300551036943695,44.30384612741217,42.7488514975811,68.52845386355503,68.31316513348636,68.22987491331396,67.59271889447895,68.03706949818289,67.64570484228086,67.57602290825378,67.24979,67.18179
24,경기대학교,대학,사립,경기,A그룹,44.6786690528338,44.52438449708045,44.331775522794985,42.7488514975811,69.43243923762935,68.0945266919899,67.59206868465418,67.50981586012489,67.60081780361809,67.60131519150688,68.35581342661743,67.95443,67.86576
25,경남대학교,대학,사립,경남,A그룹,44.41752115176838,44.287737503808074,44.28811073072086,42.7488514975811,67.61340806463308,67.48706563814818,67.26097761476636,67.20468357311334,67.0977926848661,67.07505859230439,67.04745861447391,67.17881,67.15243
26,경남도립거창대학,전문대학,공립,경남,C그룹,44.443671505848386,44.31569736672837,44.33698201650917,42.7488514975811,68.21175304081949,68.21612974546285,68.47389397919504,67.8414448122349,67.83332441200359,67.83056234800814,70.79132916357533,70.73848,71.56074
27,경남도립남해대학,전문대학,공립,경남,C그룹,44.45221450503028,44.32983322321146,44.33704296038818,42.7488514975811,67.73934698175009,67.62817080808922,67.62709615535422,67.65284620087172,69.49415963864664,67.89947037211668,68.17800581072183,68.28663,68.261024
28,경남정보대학교,전문대학,사립,부산,A그룹,44.43163895337299,44.29534252732156,44.304435911142875,42.7488514975811,67.66271626569853,67.54787855473438,67.54569165569977,67.54070471873868,67.51585459425142,67.53427994578162,67.53117807857392,67.72267,67.73012
29,경동대학교,대학,사립,강원,B그룹,44.43283280522008,44.30062343596516,44.30604399078724,42.7488514975811,70.22049275741459,67.17329099503398,67.18101214316869,67.3064124828661,67.34356848672479,67.43265754978529,67.4731984773774,67.52877,67.960175
30,경민대학교,전문대학,사립,경기,B그룹,44.4330839992722,44.300530578907114,44.30774031608384,42.7488514975811,68.09762081206382,67.90733820171566,68.15865398444491,67.91994919234851,67.75705650996568,68.31589083208569,67.75787808297417,67.68429,68.0495
31,경복대학교,전문대학,사립,경기,A그룹,44.42877451010096,44.295969810338484,44.30317954751521,42.7488514975811,67.69997732846089,67.87625413253939,67.53956176591709,67.51398281948732,67.53021433659434,67.5218548249011,67.53018601177257,67.69067,67.59604
