YR,ID,SNM,STYP,FND,RGN,USC,STF_FT_HLIBC,STF_FT_NLIBC,STF_PT_HLIBC,STF_PT_NLIBC,STF_TTL_HLIBC,STF_TTL_NLIBC,STF_TTL_SUM,LIBCS_FT_SL1,LIBCS_FT_SL2,LIBCS_FT_ALIB,LIBCS_FT_TTL,LIBCS_PT_SL1,LIBCS_PT_SL2,LIBCS_PT_ALIB,LIBCS_PT_TTL,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCP,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2015,67,구세군사관대학원대학교,대학원대학,사립,경기,-,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,30,4,0,0,1,0,43,18.600000381469727,0,1,43,23.299999237060547,30,0,1,30.0
2015,68,국군간호사관학교,기타,기타,대전,-,1,0,1,0,2,0,2,0,1,0,1,1,0,0,1,245,8,1,0,1,0,0,0.0,1,1,0,0.0,245,1,1,122.5
2015,69,국립강릉원주대학교,대학,국립,강원,B그룹,15,1,2,1,17,2,19,3,11,1,15,0,0,2,2,1735,245,15,1,2,1,8869,2.0,15,2,8869,1.899999976158142,1735,16,3,91.3000030517578
2015,70,국립경국대학교,대학,국립,경북,B그룹,12,0,1,2,13,2,15,3,8,1,12,0,0,1,1,1524,143,12,0,1,2,8192,1.7000000476837158,12,1,8192,1.600000023841858,1524,12,3,101.5999984741211
2015,71,국립공주대학교,대학,국립,충남,A그룹,19,2,0,0,19,2,21,7,12,0,19,0,0,0,0,2224,242,19,2,0,0,17356,1.2000000476837158,19,0,17356,1.100000023841858,2224,21,0,105.9000015258789
2015,72,국립군산대학교,대학,국립,전북,B그룹,12,1,1,0,13,1,14,3,9,0,12,0,1,0,1,1581,218,12,1,1,0,9041,1.5,12,1,9041,1.399999976158142,1581,13,1,112.9000015258789
2015,73,국립금오공과대학교,대학,국립,경북,B그룹,6,0,1,1,7,1,8,3,3,0,6,0,1,0,1,418,28,6,0,1,1,7580,1.0,6,1,7580,0.8999999761581421,418,6,2,52.29999923706055
2015,74,국립목포대학교,대학,국립,전남,B그룹,9,4,0,0,9,4,13,5,4,0,9,0,0,0,0,1258,179,9,4,0,0,9027,1.399999976158142,9,0,9027,1.0,1258,13,0,96.8000030517578
2015,75,국립목포해양대학교,대학,국립,전남,C그룹,5,0,0,0,5,0,5,2,3,0,5,0,0,0,0,550,112,5,0,0,0,2714,1.7999999523162842,5,0,2714,1.7999999523162842,550,5,0,110.0
2015,76,국립부경대학교,대학,국립,부산,A그룹,19,0,1,0,20,0,20,5,13,1,19,0,1,0,1,1901,62,19,0,1,0,20223,1.0,19,1,20223,1.0,1901,19,1,95.0999984741211
2015,77,국립순천대학교,대학,국립,전남,B그룹,12,0,0,0,12,0,12,7,5,0,12,0,0,0,0,1175,31,12,0,0,0,8655,1.399999976158142,12,0,8655,1.399999976158142,1175,12,0,97.9000015258789
2015,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.0,0,0,44,0.0,0,0,0,0.0
2015,79,국립창원대학교,대학,국립,경남,B그룹,13,1,0,0,13,1,14,1,11,1,13,0,0,0,0,775,21,13,1,0,0,10353,1.2999999523162842,13,0,10353,1.2999999523162842,775,14,0,55.400001525878906
2015,80,국립한국교통대학교,대학,국립,충북,B그룹,9,0,0,1,9,1,10,3,6,0,9,0,0,0,0,402,34,9,0,0,1,9884,1.0,9,0,9884,0.8999999761581421,402,9,1,40.20000076293945
2015,81,국립한국해양대학교,대학,국립,부산,B그룹,12,0,0,0,12,0,12,6,6,0,12,0,0,0,0,725,105,12,0,0,0,7870,1.5,12,0,7870,1.5,725,12,0,60.400001525878906
2015,82,국립한밭대학교,대학,국립,대전,B그룹,7,2,0,1,7,3,10,1,4,2,7,0,0,0,0,43,8,7,2,0,1,9037,1.0,7,0,9037,0.800000011920929,43,9,1,4.300000190734863
2015,83,국민대학교,대학,사립,서울,A그룹,11,0,11,15,22,15,37,5,5,1,11,0,11,0,11,559,126,11,0,11,15,18578,1.5,11,11,18578,1.2000000476837158,559,11,26,15.100000381469728
2015,84,국방대학교,기타,기타,충남,-,7,5,0,0,7,5,12,2,4,1,7,0,0,0,0,150,4,7,5,0,0,0,0.0,7,0,0,0.0,150,12,0,12.5
2015,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5,0,1,0,0,0,233,4.300000190734863,1,0,233,4.300000190734863,5,1,0,5.0
2015,86,국제대학교,전문대학,사립,경기,B그룹,1,0,1,0,2,0,2,0,0,1,1,0,0,1,1,242,4,1,0,1,0,4458,0.4000000059604645,1,1,4458,0.4000000059604645,242,1,1,121.0
2015,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,87,18.399999618530277,0,0,87,0.0,0,2,0,0.0
2015,89,국제사이버대학교,대학,사립,경기,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,20,2,0,2,0,0,2384,0.699999988079071,0,0,2384,0.0,20,2,0,10.0
2015,90,국제언어대학원대학교,대학원대학,사립,서울,-,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,50,0,1,0,0,1,90,16.700000762939453,1,0,90,11.100000381469728,50,1,1,25.0
2015,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015,92,군산간호대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1153,1.2999999523162842,1,0,1153,0.8999999761581421,0,1,1,0.0
2015,93,군장대학교,전문대학,사립,전북,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,72,6,1,0,0,1,2122,0.699999988079071,1,0,2122,0.5,72,1,1,36.0
2015,94,극동대학교,대학,사립,충북,C그룹,0,3,1,1,1,4,5,0,0,0,0,0,1,0,1,51,6,0,3,1,1,4332,0.8999999761581421,0,1,4332,0.2000000029802322,51,3,2,10.199999809265137
2015,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2222,0.699999988079071,0,0,2222,0.0,0,2,0,0.0
2015,96,금강대학교,대학,사립,충남,C그룹,2,0,1,0,3,0,3,1,1,0,2,0,1,0,1,4,1,2,0,1,0,525,5.300000190734863,2,1,525,5.699999809265137,4,2,1,1.2999999523162842
2015,97,기독간호대학교,전문대학,사립,광주,C그룹,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,7,1,0,0,1,0,655,1.2000000476837158,0,1,655,1.5,7,0,1,7.0
2015,98,김천대학교,대학,사립,경북,C그룹,1,3,1,1,2,4,6,0,1,0,1,0,1,0,1,82,12,1,3,1,1,3801,1.2000000476837158,1,1,3801,0.5,82,4,2,13.699999809265137
2015,99,김포대학교,전문대학,사립,경기,C그룹,1,0,0,1,1,1,2,0,1,0,1,0,0,0,0,62,13,1,0,0,1,3371,0.4000000059604645,1,0,3371,0.3000000119209289,62,1,1,31.0
