YR,ID,SNM,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR
2019,69,국립강릉원주대학교,대학,국립,강원,B그룹,390711,94198,484909,682525,156695,839220,17,13,41748,2,32,41748,733,40,773,7713,6531,14244,14079,0,839220,8470,99.0999984741211,14244,839220,1.7000000476837158
2019,70,국립경국대학교,대학,국립,경북,B그룹,349715,77339,427054,730341,117433,847774,9,8,30671,1,18,30671,230,15,245,7314,4600,11914,6496,1467,847774,7477,113.4000015258789,11914,847774,1.399999976158142
2019,71,국립공주대학교,대학,국립,충남,A그룹,483804,105308,589112,1130512,172431,1302943,20,13,41820,1,34,41820,424,64,488,23136,4366,27502,14077,0,1302943,15670,83.0999984741211,27502,1302943,2.200000047683716
2019,72,국립군산대학교,대학,국립,전북,B그룹,268909,47109,316018,589308,95374,684682,11,11,22968,5,27,22968,416,90,506,8876,3943,12819,11245,0,684682,7890,86.80000305175781,12819,684682,1.899999976158142
2019,73,국립금오공과대학교,대학,국립,경북,B그룹,189673,41531,231204,413659,67776,481435,15,16,19497,3,34,19497,115,50,165,16538,3987,20525,14305,0,481435,6567,73.30000305175781,20525,481435,4.5
2019,74,국립목포대학교,대학,국립,전남,B그룹,250833,90834,341667,497961,137829,635790,11,18,17166,0,29,17166,521,15,536,8706,5125,13831,8987,39887,635790,8140,78.0999984741211,13831,635790,2.200000047683716
2019,75,국립목포해양대학교,대학,국립,전남,C그룹,102588,15097,117685,209915,20272,230187,1,0,16729,0,1,16729,125,48,173,3198,4234,7432,4264,0,230187,2758,83.5,7432,230187,3.299999952316284
2019,76,국립부경대학교,대학,국립,부산,A그룹,342871,146801,489672,1047268,217099,1264367,19,24,36832,0,43,36832,488,135,623,26447,16264,42711,31362,0,1264367,18962,66.69999694824219,42711,1264367,3.5
2019,77,국립순천대학교,대학,국립,전남,B그룹,364395,98315,462710,701440,157679,859119,19,22,58586,10,51,58586,322,108,430,23180,2923,26103,22720,0,859119,7771,110.5999984741211,26103,859119,3.0999999046325684
2019,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,718,628,1346,718,628,1346,0,0,91,0,0,91,0,0,0,102,0,102,102,0,1346,65,20.700000762939453,102,1346,8.199999809265137
