Year,ID,SchName,SchType,FoundType,Region,UnivScale,VolunteerUserCnt_VolunteerTC_PrevYear_StCount,VolunteerUserCnt_VolunteerTC_PrevYear_Undergrad,VolunteerUserCnt_VolunteerTC_PrevYear_GradSt,VolunteerUserCnt_VolunteerTC_PrevYear_FullFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_PartFaculty,VolunteerUserCnt_VolunteerTC_PrevYear_Staff,VolunteerUserCnt_VolunteerTC_PrevYear_Other,VolunteerUserCnt_VolunteerTC_PrevYear_TotalSum,VolunteerUserCnt_VolunteerTC_CurrYear_StCount,VolunteerUserCnt_VolunteerTC_CurrYear_Undergrad,VolunteerUserCnt_VolunteerTC_CurrYear_GradSt,VolunteerUserCnt_VolunteerTC_CurrYear_FullFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_PartFaculty,VolunteerUserCnt_VolunteerTC_CurrYear_Staff,VolunteerUserCnt_VolunteerTC_CurrYear_Other,VolunteerUserCnt_VolunteerTC_CurrYear_TotalSum,VolunteerUserCnt_DeptCnt,VolunteerUserCnt_UserCnt_LibUserCnt,LoanStatus_LoanUserCnt_Undergrad,LoanStatus_LoanUserCnt_GradSt,LoanStatus_LoanUserCnt_Faculty,LoanStatus_LoanUserCnt_Staff,LoanStatus_LoanUserCnt_Other,LoanStatus_LoanUserCnt_TotalSum,LoanStatus_LoanBookCnt_Undergrad,LoanStatus_LoanBookCnt_GradSt,LoanStatus_LoanBookCnt_Faculty,LoanStatus_LoanBookCnt_Staff,LoanStatus_LoanBookCnt_Other,LoanStatus_LoanBookCnt_TotalSum,RefCollab_RefBefore2010_Request,RefCollab_RefBefore2010_Provided,RefCollab_RefAfter2010_Consultation,RefCollab_RefAfter2010_Phone,RefCollab_RefAfter2010_Online,RefCollab_RefLoan_Request,RefCollab_RefLoan_Provided,RefCollab_RefCopy_Request,RefCollab_RefCopy_Provided,UserEdu_OnsiteEduUser_EduCount,UserEdu_OnsiteEduUser_EduPartCnt,UserEdu_RemoteEduUser_EduCount,UserEdu_RemoteEduUser_EduPartCnt,LoanPerSt_LoanBookCnt,LoanPerSt_StCountPrev,LoanPerSt_LoanPerSt,VisitPerSt_VisitCnt,VisitPerSt_StCountPrev,VisitPerSt_VisitPerSt
2021,43,경일대학교,대학,사립,경북,B그룹,7141,6922,219,255,133,151,0,7680,7141,6875,266,253,134,211,39,7778,0,72661,888,24,85,71,5,1073,4573,173,921,1021,561,7249,0,0,450,2028,1123,8,48,32,3,14,311,4,303,4746,7141,0.699999988079071,72661,7141,10.199999809265137
2021,44,경찰대학,기타,기타,충남,-,0,0,0,0,0,0,600,600,0,0,0,0,0,0,600,600,0,27641,247,30,47,169,309,802,3749,1506,2666,3014,1397,12332,0,0,47,53,0,77,7,97,5,2,40,0,0,5255,0,0.0,27641,0,0.0
2021,45,경희대학교,대학,사립,서울,A그룹,33373,25875,7498,1407,2210,1098,22796,60884,34454,26582,7872,1361,2219,1152,23085,62271,0,358468,3859,1635,882,566,3483,10425,43591,24589,14863,9952,105899,198894,0,0,20255,21729,1945,642,1255,519,779,0,0,274,4796,68180,33373,2.0,358468,33373,10.699999809265137
2021,46,계명대학교,대학,사립,대구,A그룹,22930,20692,2238,902,982,505,15250,40569,23449,21302,2147,900,1013,745,1483,27590,0,214785,6719,954,707,723,2781,11884,61158,16018,17381,9274,26344,130175,0,0,2932,22968,135,284,1258,2047,664,6,174,40,5186,77176,22930,3.400000095367432,214785,22930,9.399999618530272
2021,47,계명문화대학교,전문대학,사립,대구,A그룹,5008,5008,0,122,547,92,1713,7482,4708,4708,0,634,510,117,1880,7849,0,24520,1861,0,108,64,45,2078,31011,0,1436,1254,1257,34958,0,0,51,63,54,5,1,12,0,1,18,1,100,31011,5008,6.199999809265137,24520,5008,4.900000095367432
2021,48,계약신학대학원대학교,대학원대학,사립,경기,-,37,0,37,5,3,3,1,49,9,0,9,3,0,3,0,15,0,26,0,21,2,1,2,26,0,298,8,9,18,333,0,0,0,0,0,0,0,0,0,0,0,0,0,298,37,8.100000381469727,26,37,0.699999988079071
2021,49,계원예술대학교,전문대학,사립,경기,B그룹,3009,3009,0,84,195,75,0,3363,2832,2832,0,279,196,77,0,3384,0,14368,545,0,28,37,0,610,4379,0,538,518,8118,13553,0,0,83,167,20,0,0,0,1,0,0,0,0,4379,3009,1.5,14368,3009,4.800000190734863
2021,50,고려대학교,대학,사립,서울,A그룹,29580,20822,8758,1477,2797,1135,2861,37850,29572,20047,9525,1504,2769,1181,1658,36684,0,2735390,8603,3522,1044,933,408,14510,113921,91034,26709,15775,32644,280083,0,0,18842,33449,6321,4877,6241,4990,11616,16,325,144,2448,204955,29580,6.900000095367432,2735390,29580,92.5
2021,51,고려대학교(세종),대학,사립,세종,B그룹,7096,6387,709,260,445,212,371,8384,7481,6599,882,261,473,227,371,8813,0,137132,2464,640,337,306,784,4531,15814,5305,1819,1918,1277,26133,0,0,677,381,0,91,95,59,114,0,0,4,59,21119,7096,3.0,137132,7096,19.299999237060547
2021,52,고려사이버대학교,대학,사립,서울,A그룹,9468,9385,83,44,207,67,0,9786,10457,10357,100,46,226,69,0,10798,0,0,1521,20,16,9,507,2073,8099,56,78,45,2947,11225,0,0,0,0,0,3,0,1,0,0,0,0,0,8155,9468,0.8999999761581421,0,9468,0.0
2021,53,고신대학교,대학,사립,부산,C그룹,4788,3920,868,305,154,158,423,5828,4686,3781,905,301,178,170,799,6134,0,91676,530,396,118,98,101,1243,8160,7742,2710,2426,1903,22941,0,0,2892,2560,2242,19,117,1253,1688,4,14,31,256,15902,4788,3.299999952316284,91676,4788,19.100000381469727
2021,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6360,544,0,82,626,18,1270,5183,0,1945,7259,125579,139966,0,0,63,148,441,73,0,89,0,13,686,0,0,5183,0,0.0,6360,0,0.0
2021,55,공주교육대학교,대학,국립,충남,C그룹,1921,1439,482,83,119,74,12,2209,2003,1456,547,86,120,74,20,2303,0,126687,1278,56,47,20,2,1403,5777,198,833,495,2,7305,0,0,0,0,0,48,11,27,13,0,0,6,11,5975,1921,3.0999999046325684,126687,1921,65.9000015258789
2021,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,1304,0,1304,951,206,69,0,2530,1282,0,1282,1244,210,73,0,2809,0,4961,0,259,112,33,0,404,0,1697,937,209,0,2843,0,0,0,0,0,0,0,33,0,0,0,0,0,1697,1304,1.2999999523162842,4961,1304,3.799999952316284
2021,57,광신대학교,대학,사립,광주,C그룹,986,514,472,50,88,26,140,1290,977,482,495,49,97,25,140,1288,0,16656,29,55,14,6,3,107,420,412,266,37,21,1156,0,0,0,37,4,11,11,2,12,0,0,0,0,832,986,0.800000011920929,16656,986,16.899999618530273
2021,58,광양보건대학교,전문대학,사립,전남,C그룹,648,648,0,47,33,15,0,743,371,371,0,65,26,13,0,475,0,8,3,0,4,4,0,11,7,0,4,4,0,15,0,0,0,8,0,0,0,0,0,0,0,0,0,7,648,0.0,8,648,0.0
