Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountCurr,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2013A,BgtGrowth3Y_MatCostSettle_2014B,BgtGrowth3Y_MatCostSettle_2015C,BgtGrowth3Y_BgtGrowth3Y
2015,57,광신대학교,대학,사립,광주,C그룹,8459813000,30528514,8915800,101600,0,0,0,12000000,51545914,8470571000,15500000,9500000,2000000,0,5000000,0,4000000,36000000,51545914,938,54953.0,51545914,8459813000,0.6,15302580,12424040,51545914,148.0
2015,58,광양보건대학교,전문대학,사립,전남,C그룹,17926887000,10568600,0,990000,0,0,0,0,11558600,17818576000,45000000,1000000,4000000,1000000,5000000,0,8000000,64000000,11558600,1984,5825.9,11558600,17926887000,0.1,0,33864000,11558600,0.0
2015,59,광운대학교,대학,사립,서울,B그룹,120533785000,347591710,33818936,3795000,709072552,235685964,0,113841800,1443805962,139033976000,365500000,42000000,5000000,833000000,275000000,0,150000000,1670500000,1443805962,10106,142866.2,1443805962,120533785000,1.2,1459913807,1439370485,1443805962,-0.5
2015,60,광주가톨릭대학교,대학,사립,전남,C그룹,31174670000,42471525,20420542,1030600,11912011,505000,0,3651747,79991425,3108947000,38000000,21500000,500000,19000000,1000000,0,0,80000000,79991425,118,677893.4,79991425,31174670000,0.3,79844474,89614569,79991425,0.7
2015,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2015,62,광주교육대학교,대학,국립,광주,C그룹,23287172000,59114000,33226000,2202000,0,22090000,0,0,116632000,21709606000,58000000,39600000,5000000,0,24600000,0,0,127200000,116632000,2207,52846.4,116632000,23287172000,0.5,216785000,124338000,116632000,-24.4
2015,63,광주대학교,대학,사립,광주,B그룹,75885891000,76432400,53947000,9932000,48727000,39583500,0,182377500,410999400,72875304000,89800000,60000000,0,51000000,40200000,0,165000000,406000000,410999400,7901,52018.7,410999400,75885891000,0.5,359983371,386849912,410999400,6.9
2015,64,광주보건대학교,전문대학,사립,광주,B그룹,34339175000,47555950,44127500,16629290,17250000,0,0,24435000,149997740,34120153000,63000000,29000000,15000000,17500000,0,0,25500000,150000000,149997740,4123,36380.7,149997740,34339175000,0.4,184965120,184997350,149997740,-9.5
2015,65,광주여자대학교,대학,사립,광주,C그룹,53779519000,101845700,9929650,9445000,25990000,18135755,0,101324523,266670628,51172516000,73500000,12000000,12000000,38500000,11500000,0,82070000,229570000,266670628,4256,62657.6,266670628,53779519000,0.5,304608743,235435112,266670628,-4.7
2015,66,구미대학교,전문대학,사립,경북,A그룹,59089483000,3221200,4141100,0,0,0,0,0,7362300,55416669000,135000000,5195300,0,0,0,0,0,140195300,7362300,5492,1340.5,7362300,59089483000,0.0,51317780,40744940,7362300,-51.3
2015,67,구세군사관대학원대학교,대학원대학,사립,경기,-,1300879000,3959220,402000,0,0,0,0,0,4361220,1559931000,6800000,500000,0,0,0,0,0,7300000,4361220,43,101423.7,4361220,1300879000,0.3,4493570,3174810,4361220,4.0
2015,68,국군간호사관학교,기타,기타,대전,-,0,28948000,8308000,1948000,0,9780000,0,0,48984000,0,29000000,8334000,2827000,0,14136000,0,0,54297000,48984000,0,0.0,48984000,0,0.0,48896000,61620000,48984000,2.8
2015,69,국립강릉원주대학교,대학,국립,강원,B그룹,100459856000,480639340,181608780,42121780,319017890,35567050,0,20000000,1078954840,98779888000,185732000,69616000,14500000,201646000,26000000,0,20000000,517494000,1078954840,8869,121654.6,1078954840,100459856000,1.1,1179442360,1222058496,1078954840,-4.0
2015,70,국립경국대학교,대학,국립,경북,B그룹,91041489000,172831610,24413260,2509810,276560576,80810884,0,25115770,582241910,96298714000,150752750,18627160,2115600,233121700,68118060,0,23172730,495908000,582241910,8192,71074.5,582241910,91041489000,0.6,800799085,759702540,582241910,-14.2
2015,71,국립공주대학교,대학,국립,충남,A그룹,159270844000,305154810,104231750,1048480,493972330,194980720,0,61374910,1160763000,139684804000,339000000,135000000,15624000,531470000,236325000,0,55330000,1312749000,1160763000,17356,66879.6,1160763000,159270844000,0.7,1351119650,1371925430,1160763000,-6.9
2015,72,국립군산대학교,대학,국립,전북,B그룹,91430100000,148229140,80812680,2576750,479735460,217484420,0,142036950,1070875400,89980411000,150200000,74830000,2500000,260000000,60000000,0,31500000,579030000,1070875400,9041,118446.6,1070875400,91430100000,1.2,812213500,811414538,1070875400,15.9
2015,73,국립금오공과대학교,대학,국립,경북,B그룹,61630011000,333369080,83454900,15070000,365748328,60433362,0,79930000,938005670,65533703000,276099000,86810000,15000000,401200000,61000000,0,80000000,920109000,938005670,7580,123747.4,938005670,61630011000,1.5,860078890,879436990,938005670,4.5
2015,74,국립목포대학교,대학,국립,전남,B그룹,86582092000,324496000,66833375,4616000,215365370,100135630,0,36936000,748382375,93168004000,229500000,60000000,5000000,152000000,123000000,0,30000000,599500000,748382375,9027,82904.9,748382375,86582092000,0.9,621000000,615000000,748382375,10.4
2015,75,국립목포해양대학교,대학,국립,전남,C그룹,46196499000,39982380,31840000,2950000,206230480,20851860,0,40140000,341994720,44298224000,60000000,37000000,4890000,120000000,24183000,0,35000000,281073000,341994720,2714,126011.3,341994720,46196499000,0.7,142522380,320737980,341994720,65.8
2015,76,국립부경대학교,대학,국립,부산,A그룹,201358797000,231811340,101358940,8180820,1028607990,284048780,0,0,1654007870,192826297000,230000000,82000000,10000000,762268000,289918000,0,20000000,1394186000,1654007870,20223,81788.5,1654007870,201358797000,0.8,1970680000,1868022370,1654007870,-8.3
2015,77,국립순천대학교,대학,국립,전남,B그룹,84856739000,256147570,62512920,31595421,368491395,336729792,0,66711902,1122189000,80677367000,270000000,65000000,25000000,232389000,200000000,0,65000000,857389000,1122189000,8655,129657.9,1122189000,84856739000,1.3,1120953000,1116144000,1122189000,0.1
2015,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,3877029000,34728515,0,0,0,0,0,0,34728515,4883971000,17600000,0,0,0,0,0,0,17600000,34728515,44,789284.4,34728515,3877029000,0.9,0,0,34728515,0.0
2015,79,국립창원대학교,대학,국립,경남,B그룹,98695332000,297880830,128481680,6574130,417369845,52571484,0,48428327,951306296,86553695000,237000000,138700000,0,382682000,57488100,0,9000000,824870100,951306296,10353,91887.0,951306296,98695332000,1.0,859202850,859255520,951306296,5.4
2015,80,국립한국교통대학교,대학,국립,충북,B그룹,100193137000,246054660,1134000,28928880,350069328,7110000,0,56749333,690046201,99004224000,490814000,44250000,25000000,369250000,7110000,0,126696000,1063120000,690046201,9884,69814.5,690046201,100193137000,0.7,551611958,610002343,690046201,11.9
2015,81,국립한국해양대학교,대학,국립,부산,B그룹,84201011000,124489420,39456290,4013350,511393540,60531360,0,43616040,783500000,85268093000,100000000,32664000,2000000,380000000,35000000,0,40336000,590000000,783500000,7870,99555.3,783500000,84201011000,0.9,952276660,854513000,783500000,-9.3
2015,82,국립한밭대학교,대학,국립,대전,B그룹,83171811000,263670000,55994750,4589120,313453034,3000000,0,12774840,653481744,81514934000,240579000,59094000,5000000,171274000,0,0,5000000,480947000,653481744,9037,72311.8,653481744,83171811000,0.8,684962000,735262000,653481744,-1.9
2015,83,국민대학교,대학,사립,서울,A그룹,228553268000,712847588,105152412,13216951,651054806,356862553,0,166945687,2006079997,225886590000,550000000,80000000,5000000,635000000,350000000,0,180000000,1800000000,2006079997,18578,107981.5,2006079997,228553268000,0.9,2780000000,2500000000,2006079997,-14.9
2015,84,국방대학교,기타,기타,충남,-,0,142538000,54518000,5217000,49471000,0,0,30000000,281744000,0,177422000,48640000,7500000,49471000,0,0,30000000,313033000,281744000,0,0.0,281744000,0,0.0,0,231079000,281744000,0.0
2015,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,2425660000,4000000,250000,0,0,4800000,0,0,9050000,2727305000,4000000,250000,0,0,5180000,0,0,9430000,9050000,233,38841.2,9050000,2425660000,0.4,5542000,5542000,9050000,31.6
2015,86,국제대학교,전문대학,사립,경기,B그룹,50378024000,19627240,0,0,17017000,0,0,50802160,87446400,54039850000,115220000,0,0,17320000,0,0,16100000,148640000,87446400,4458,19615.6,87446400,50378024000,0.2,37186400,80135630,87446400,62.3
2015,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2015,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,1498257000,0,0,0,0,0,0,0,0,4336950000,0,0,0,0,0,0,0,0,0,87,0.0,0,1498257000,0.0,0,0,0,0.0
2015,89,국제사이버대학교,대학,사립,경기,C그룹,10235609000,0,0,207590,0,0,0,0,207590,10396844000,0,0,5000000,0,0,0,45000001,50000001,207590,2384,87.1,207590,10235609000,0.0,295500,510000,207590,6.6
2015,90,국제언어대학원대학교,대학원대학,사립,서울,-,5084189000,5547370,20667623,0,0,0,0,0,26214993,5316159000,5000000,25240000,0,0,0,0,0,30240000,26214993,90,291277.7,26214993,5084189000,0.5,30969409,26436730,26214993,-7.7
2015,91,국제예술대학교,기타,기타,서울,-,0,342370,0,0,0,0,0,0,342370,0,5000000,0,5000000,0,0,0,0,10000000,342370,0,0.0,342370,0,0.0,107400,342370,342370,109.4
2015,92,군산간호대학교,전문대학,사립,전북,C그룹,10993710000,25554790,650000,1871100,0,2105971,0,0,30181861,11299036000,25840000,700000,2000000,0,4800000,0,0,33340000,30181861,1153,26176.8,30181861,10993710000,0.3,53975380,56023989,30181861,-21.2
2015,93,군장대학교,전문대학,사립,전북,C그룹,18322139000,34250720,1193700,5676910,3000000,0,0,10000000,54121330,19023817000,26800000,1100000,5000000,3000000,0,0,8000000,43900000,54121330,2122,25504.9,54121330,18322139000,0.3,19154760,51262105,54121330,86.6
