ID,SNM,STYP,FND,RGN,USC,SCR_EST_2022,SCR_EST_2023,SCR_EST_2024,SCR_EST_2025,SCR_EST_2026
213,서울예술대학교,전문대학,사립,경기,B그룹,67.20435192908495,68.11362632144319,68.2849405990621,68.29112,68.28864
214,서울외국어대학원대학교,대학원대학,사립,서울,-,70.94647166085372,69.0814868121792,69.06112534241552,69.03599,69.03122
215,서울장신대학교,대학,사립,경기,C그룹,68.09122768403367,67.984874906927,67.94345830897605,67.93347,67.93445
216,서울한영대학교,대학,사립,서울,C그룹,68.11850456667123,68.06813744300213,68.11327082758824,68.111145,68.110916
217,서원대학교,대학,사립,충북,B그룹,67.550659818698,67.37938032235694,68.49363574353266,68.48616,68.48706
218,서일대학교,전문대학,사립,서울,A그룹,68.26341139311711,68.26364900477162,68.28208222773267,68.28829,68.28829
219,서정대학교,전문대학,사립,경기,A그룹,69.5529329258831,69.55799189751984,69.5608639112165,69.55826,69.55826
220,서해대학,전문대학,사립,전북,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
221,선교청대학교,대학,사립,충남,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
222,선린대학교,전문대학,사립,경북,C그룹,68.514218278141,69.06455742008222,69.3703714193912,69.36206,69.354904
223,선문대학교,대학,사립,충남,B그룹,67.26672483569061,67.48601493836334,67.607870215729,67.60542,67.60369
224,선학유피대학원대학교,대학원대학,사립,경기,-,71.04667878449091,71.0466787844909,71.0466787844909,71.04654,71.04313
225,성결대학교,대학,사립,경기,B그룹,67.28833158717951,67.29407883765177,67.39517905925376,67.38956,67.390915
226,성공회대학교,대학,사립,서울,C그룹,67.5294564056275,68.34014037885922,67.81328100662247,67.8055,67.805305
227,성균관대학교,대학,사립,서울,A그룹,75.9574556089746,75.9899773276603,75.23727019758824,75.79331,75.79331
228,성산효대학원대학교,대학원대학,사립,인천,-,69.21233508981918,69.20514510376934,69.14997387344877,69.16333,69.162796
229,성서침례대학원대학교,대학원대학,사립,경기,-,71.05594656889934,71.05594656889934,71.09330103029473,71.08762,71.085785
230,성신여자대학교,대학,사립,서울,A그룹,67.38288254780277,67.51255251695511,67.79225639710955,67.79198,67.79124
231,성운대학교,전문대학,사립,경북,C그룹,68.6507415460864,68.6503720554556,68.62868139970244,68.620674,68.62074
232,성화대학,전문대학,사립,전남,B그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
233,세경대학교,전문대학,사립,강원,C그룹,68.61408051494591,68.5954599949818,68.45807967948045,68.44946,68.449486
234,세계사이버대학,기타,기타,경기,-,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
235,세명대학교,대학,사립,충북,B그룹,67.25375810105258,67.32535135116194,67.40456905480818,67.40817,67.40544
236,세종대학교,대학,사립,서울,A그룹,70.07661053596375,69.91936793127877,70.52631536000662,70.31649,70.420456
237,세한대학교,대학,사립,충남,C그룹,67.99491987463368,67.82151800416017,67.85100842108322,67.85748,67.856476
238,송곡대학교,전문대학,사립,강원,C그룹,69.44935488919417,69.44790648416162,68.56115870706114,68.57977,68.5773
239,송원대학교,대학,사립,광주,C그룹,67.82830564613833,67.73398953918584,67.77157344781033,67.77341,67.77308
240,송호대학교,전문대학,사립,강원,C그룹,67.83787436583722,68.40839064386826,69.36565785971278,69.36144,69.35538
241,수도국제대학원대학교,대학원대학,사립,서울,-,69.60251507582781,69.52825256525911,69.63270941232427,69.63989,69.63424
242,수성대학교,전문대학,사립,대구,B그룹,67.62165761735285,67.24697397649557,67.56494676215013,67.55916,67.56364
243,수원가톨릭대학교,대학,사립,경기,C그룹,71.04667878449091,71.03559669948298,71.08403324588627,71.086525,71.08595
244,수원과학대학교,전문대학,사립,경기,B그룹,67.76940762890139,67.74443734917209,67.77402873020222,67.77322,67.77308
245,수원대학교,대학,사립,경기,B그룹,68.32444324364324,68.1968609835866,68.0492806834128,68.0591,68.06059
246,수원여자대학교,전문대학,사립,경기,B그룹,68.11479074039784,68.8250256476897,67.62852809329983,67.63218,67.63065
247,숙명여자대학교,대학,사립,서울,A그룹,66.58317948180068,66.77810536318655,66.4288345124258,66.40033,66.4219
248,순복음대학원대학교,대학원대학,사립,서울,-,69.31536972807271,69.30817974202286,69.26940498115427,69.254486,69.25777
249,순복음총회신학교,대학,사립,충북,C그룹,69.1883326490636,69.18114266301376,69.18114266301374,69.184105,69.184105
250,순천제일대학교,전문대학,사립,전남,B그룹,67.45097750771839,68.51307282099314,69.20090820995527,69.198685,69.198265
251,순천향대학교,대학,사립,충남,A그룹,68.80758842629068,68.77848024622176,68.63158485559792,68.63378,68.63389
252,숭실대학교,대학,사립,서울,A그룹,67.7286284592779,68.17731651661896,68.54042994746949,68.54063,68.54153
253,숭실사이버대학교,대학,사립,서울,B그룹,69.62837988838885,69.62837988838885,69.60631974200489,69.59958,69.60069
254,숭의여자대학교,전문대학,사립,서울,B그룹,67.65477579003142,67.07214133922255,68.07836500808227,68.07634,68.0739
255,신경주대학교,대학,사립,경북,C그룹,68.76547659244227,68.71909456121281,67.80009976587671,67.807205,67.8053
256,신구대학교,전문대학,사립,경기,A그룹,67.67561262419365,67.6600556359193,67.74840963970209,67.75075,67.75236
257,신라대학교,대학,사립,부산,B그룹,67.1792163463808,67.28857744114376,67.40458855501505,67.40883,67.4039
258,신성대학교,전문대학,사립,충남,B그룹,67.67658855038609,68.34383865829874,67.79341512757078,67.790215,67.790535
259,신안산대학교,전문대학,사립,경기,B그룹,68.46264901255329,68.18883858722657,69.07988123382574,69.092384,69.08657
260,신한대학교,대학,사립,경기,B그룹,67.48360024757879,67.47049030032159,67.72507188278034,67.72038,67.720215
261,신흥대학교,전문대학,사립,경기,A그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
262,실천신학대학원대학교,대학원대학,사립,경기,-,70.93373043788232,71.05334675644356,71.06261454085202,71.06418,71.06591
263,아신대학교,대학,사립,경기,C그룹,66.56306624786086,66.55691060481156,66.82741319828125,66.84733,66.836136
264,아주대학교,대학,사립,경기,A그룹,72.27006531458328,71.98406001137319,71.81493016955622,71.963974,71.963974
265,아주자동차대학교,전문대학,사립,충남,C그룹,69.2026330575137,68.47003679195224,68.34216156520627,68.3473,68.346436
266,안동과학대학교,전문대학,사립,경북,B그룹,67.59699372679384,67.46156707296869,67.76804012082528,67.76954,67.769684
267,안산대학교,전문대학,사립,경기,A그룹,68.93933084381264,67.84301303876657,67.53483991840221,67.54104,67.54148
268,안양대학교,대학,사립,경기,B그룹,67.51759917941678,67.62318583565269,67.69502275607663,67.69755,67.69942
269,에스라성경대학원대학교,대학원대학,사립,경기,-,66.84951807242142,66.83310338902486,66.84951807242142,66.843895,66.84116
270,여주대학교,전문대학,사립,경기,B그룹,68.34073451620911,68.08198071974375,68.01570889458398,68.01017,68.008865
271,연성대학교,전문대학,사립,경기,A그룹,68.10731613540477,68.63269790226914,68.06888835509871,68.07535,68.077095
272,연세대학교,대학,사립,서울,A그룹,74.88631096995394,75.29693673789346,75.4418255862708,75.79331,75.79331
273,연세대학교(미래),대학,사립,강원,B그룹,66.61815311488314,67.24739282181814,65.9409764358075,65.91243,65.91664
274,연암공과대학교,전문대학,사립,경남,C그룹,68.1500830105995,68.82068077911897,68.33747901534652,68.327995,68.32766
275,연암대학교,전문대학,사립,충남,C그룹,68.98817405578289,69.01794464281654,67.97095031987955,67.96917,67.97174
276,영남대학교,대학,사립,경북,A그룹,71.99353253501778,71.62729662142264,71.41976853930663,71.347115,71.347115
277,영남사이버대학교,대학,사립,경북,C그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
278,영남신학대학교,대학,사립,경북,C그룹,67.85875421005446,68.71340962794248,67.82144624758998,67.8239,67.8243
279,영남외국어대학,전문대학,사립,경북,C그룹,69.31458786956418,69.42613982696612,69.38556225716952,69.38211,69.391045
280,영남이공대학교,전문대학,사립,대구,A그룹,67.69013623097521,67.79539433008023,67.77479886873155,67.77337,67.77322
281,영산대학교,대학,사립,경남,B그룹,67.56010228867123,67.48554016402998,67.48955302525249,67.49273,67.49159
282,영산선학대학교,대학,사립,전남,C그룹,71.08403324588629,71.0466787844909,71.0466787844909,71.04654,71.04313
283,영진전문대학교,전문대학,사립,대구,A그룹,67.3047217899881,67.2547640937819,67.49983853726125,67.49034,67.49345
284,예명대학원대학교,대학원대학,사립,서울,-,68.42578098882092,69.47491259903396,69.39133238012577,69.3824,69.38939
285,예수대학교,대학,사립,전북,C그룹,66.11425588256661,66.09579991354248,66.09240219149996,66.04874,66.04874
286,예원예술대학교,대학,사립,전북,C그룹,68.65785573039774,69.35876294360486,69.58188941655341,69.59813,69.59815
287,오산대학교,전문대학,사립,경기,A그룹,69.26331960506786,68.42719216404875,68.13655789423271,68.133995,68.13633
288,온석대학원대학교,대학원대학,사립,경기,-,69.36781539447142,69.19859768336003,71.05334675644356,71.0634,71.061455
289,용인대학교,대학,사립,경기,B그룹,68.66296969728376,68.57906412310773,68.88785682239015,68.90008,68.89588
290,용인예술과학대학교,전문대학,사립,경기,B그룹,68.15845843515025,68.30996183254638,68.01046672155138,68.00803,68.008865
291,우석대학교,대학,사립,전북,B그룹,67.4039412753745,67.52920604279917,67.57928196605641,67.576614,67.57722
292,우송공업대학,전문대학,사립,대전,B그룹,69.67082288225515,69.67082288225515,69.64876273587119,69.64938,69.649284
293,우송대학교,대학,사립,대전,A그룹,68.76417050734685,68.71731254705664,68.63972848604207,68.63758,68.63299
