Year,ID,SchName,SchType,FoundType,Region,UnivScale,Facility_LibAreaSqm,Facility_ReadSeat_TotSeats,Facility_Equip_StaffPCs,Facility_Equip_UserPCs,Facility_Equip_TotalPCs,AreaPerSt_Area,AreaPerSt_StCountCurr,AreaPerSt_AreaPerSt
2014,111,대구공업대학교,전문대학,사립,대구,C그룹,4537,238,5,20,25,4537,2263,2.0
2014,112,대구과학대학교,전문대학,사립,대구,A그룹,7219,924,6,128,134,7219,4500,1.600000023841858
2014,113,대구교육대학교,대학,국립,대구,C그룹,5048,1019,15,73,88,5048,2677,1.899999976158142
2014,114,대구대학교,대학,사립,경북,A그룹,20959,2952,59,235,294,20959,21803,1.0
2014,115,대구미래대학교,전문대학,사립,경북,C그룹,1135,160,7,16,23,1135,1314,0.8999999761581421
2014,116,대구보건대학교,전문대학,사립,대구,A그룹,4431,953,10,25,35,4431,6996,0.6000000238418579
2014,117,대구사이버대학교,대학,사립,경북,C그룹,0,0,2,0,2,0,4005,0.0
2014,118,대구예술대학교,대학,사립,경북,C그룹,534,66,2,18,20,534,1507,0.4000000059604645
2014,119,대구외국어대학교,대학,사립,경북,C그룹,503,168,2,2,4,503,333,1.5
2014,120,대구한의대학교,대학,사립,경북,B그룹,6027,1226,20,72,92,6027,7524,0.800000011920929
2014,121,대덕대학교,전문대학,사립,대전,C그룹,1398,337,7,41,48,1398,4593,0.3000000119209289
2014,122,대동대학교,전문대학,사립,부산,C그룹,941,293,2,34,36,941,1701,0.6000000238418579
2014,123,대림대학교,전문대학,사립,경기,A그룹,2722,544,16,61,77,2722,6777,0.4000000059604645
2014,124,대신대학교,대학,사립,경북,C그룹,1136,252,4,8,12,1136,549,2.0999999046325684
2014,125,대원대학교,전문대학,사립,충북,C그룹,1154,406,4,26,30,1154,2768,0.4000000059604645
2014,126,대전가톨릭대학교,대학,사립,세종,C그룹,1900,418,8,18,26,1900,119,16.0
2014,127,대전과학기술대학교,전문대학,사립,대전,B그룹,12477,1591,21,75,96,12477,4564,2.700000047683716
2014,128,대전대학교,대학,사립,대전,B그룹,15210,1781,26,149,175,15210,10915,1.399999976158142
2014,129,대전보건대학교,전문대학,사립,대전,A그룹,2520,705,12,64,76,2520,5917,0.4000000059604645
2014,130,대전신학대학교,대학,사립,대전,C그룹,1991,213,5,12,17,1991,329,6.099999904632568
2014,131,대진대학교,대학,사립,경기,B그룹,15285,1405,15,47,62,15285,8682,1.7999999523162842
2014,132,대한신학대학원대학교,대학원대학,사립,경기,-,204,42,1,3,4,204,214,1.0
2014,133,덕성여자대학교,대학,사립,서울,B그룹,11122,1915,36,113,149,11122,6710,1.7000000476837158
2014,134,동강대학교,전문대학,사립,광주,B그룹,4242,1440,11,88,99,4242,3758,1.100000023841858
2014,135,동국대학교,대학,사립,서울,A그룹,16063,2765,55,163,218,16063,17349,0.8999999761581421
2014,136,동국대학교 WISE캠퍼스,대학,사립,경북,B그룹,13078,2195,34,109,143,13078,9151,1.399999976158142
2014,137,동남보건대학교,전문대학,사립,경기,A그룹,4599,1044,10,57,67,4599,5036,0.8999999761581421
2014,138,동덕여자대학교,대학,사립,서울,B그룹,6247,947,36,89,125,6247,8493,0.699999988079071
2014,139,동명대학교,대학,사립,부산,B그룹,11487,1376,25,72,97,11487,9537,1.2000000476837158
