YR,ID,SNM,STYP,FND,RGN,USC,VUC_SCC,VUC_VTC_UGRD,VUC_VTC_GRAD,VUC_VTC_FFAC,VUC_VTC_PFAC,VUC_VTC_STF,VUC_VTC_OTH,VUC_VTC_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCC,LPS_LPS,VPS_VC,VPS_SCC,VPS_VPS
2016,50,고려대학교,대학,사립,서울,A그룹,29540,20416,9124,1446,2828,853,3064,37731,69,6449384,17968,6109,965,741,1050,26833,224895,139997,18585,10361,69232,463070,0,0,25454,36811,5964,3167,3932,4797,9729,247,3019,364892,29540,12.399999618530272,6449384,29540,218.3000030517578
2016,51,고려대학교(세종),대학,사립,세종,B그룹,7768,6896,872,280,351,195,237,8831,25,645046,5098,983,259,172,53,6565,42466,5472,2006,1516,38109,89569,0,0,3579,2482,138,63,109,203,152,20,1820,47938,7768,6.199999809265137,645046,7768,83.0
2016,52,고려사이버대학교,대학,사립,서울,A그룹,9671,9616,55,45,130,65,0,9911,23,0,1508,7,11,10,0,1536,7144,50,94,37,0,7325,0,0,0,0,0,0,0,1,0,0,0,7194,9671,0.699999988079071,0,9671,0.0
2016,53,고신대학교,대학,사립,부산,C그룹,5064,4107,957,307,189,214,238,6012,25,329271,1707,649,127,153,85,2721,20685,17106,4507,3259,1044,46601,0,0,4553,3407,3207,29,84,618,4517,8,1198,37791,5064,7.5,329271,5064,65.0
2016,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,48,48,0,2075,629,0,131,1271,48,2079,10715,0,3017,35416,106165,155313,0,0,1100,3500,350,33,0,237,2,32,1088,10715,0,0.0,2075,0,0.0
2016,55,공주교육대학교,대학,국립,충남,C그룹,2024,1519,505,87,95,64,5,2275,12,161982,12548,519,289,169,5,13530,18172,1310,1216,496,15,21209,0,0,0,0,0,37,15,33,8,0,0,19482,2024,9.600000381469728,161982,2024,80.0
2016,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,1235,0,1235,830,1074,78,0,3217,69,3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,0.0,3239,1235,2.5999999046325684
2016,57,광신대학교,대학,사립,광주,C그룹,949,499,450,50,112,28,137,1276,6,49750,141,179,26,8,18,372,756,1491,288,102,103,2740,0,0,7,67,6,8,5,10,16,1,300,2247,949,2.400000095367432,49750,949,52.400001525878906
2016,58,광양보건대학교,전문대학,사립,전남,C그룹,1520,1520,0,72,68,26,0,1686,17,1938,410,0,49,21,0,480,758,0,269,74,0,1101,0,0,40,27,0,0,0,0,0,13,540,758,1520,0.5,1938,1520,1.2999999523162842
2016,59,광운대학교,대학,사립,서울,B그룹,9807,8502,1305,331,512,217,23475,34342,36,518397,4917,612,175,169,1743,7616,57879,6990,2696,2628,27252,97445,0,0,7036,4161,251,113,325,428,110,5,180,64869,9807,6.599999904632568,518397,9807,52.900001525878906
2016,60,광주가톨릭대학교,대학,사립,전남,C그룹,106,79,27,16,5,27,352,506,1,15860,48,21,17,8,81,175,2062,3060,653,53,6847,12675,0,0,512,10,67,1,6,13,13,1,24,5122,106,48.29999923706055,15860,106,149.60000610351562
2016,61,광주과학기술원,대학,국립,광주,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
2016,62,광주교육대학교,대학,국립,광주,C그룹,2190,1404,786,79,112,82,102,2565,13,263000,1258,198,44,73,101,1674,15940,1649,1056,1536,944,21125,0,0,491,842,154,14,11,82,2,2,350,17589,2190,8.0,263000,2190,120.0999984741211
2016,63,광주대학교,대학,사립,광주,B그룹,7747,7294,453,259,251,114,1693,10064,45,163048,1695,37,108,50,284,2174,13095,354,2413,1518,1882,19262,0,0,2100,607,93,17,59,19,15,40,1647,13449,7747,1.7000000476837158,163048,7747,21.0
2016,64,광주보건대학교,전문대학,사립,광주,B그룹,3968,3968,0,106,200,65,0,4339,14,73910,662,0,34,39,0,735,2653,0,610,481,0,3744,0,0,53,36,9,0,0,16,9,2,486,2653,3968,0.699999988079071,73910,3968,18.600000381469727
2016,65,광주여자대학교,대학,사립,광주,C그룹,4114,3881,233,138,129,69,94,4544,25,4446,2196,40,68,66,45,2415,12003,267,711,844,8871,22696,0,0,100,300,10,0,0,33,1,29,1137,12270,4114,3.0,4446,4114,1.100000023841858
2016,66,구미대학교,전문대학,사립,경북,A그룹,5695,5695,0,131,298,51,34,6209,27,13950,877,0,17,12,20,926,2526,0,74,37,262,2899,0,0,75,3,0,0,0,0,0,12,486,2526,5695,0.4000000059604645,13950,5695,2.400000095367432
2016,67,구세군사관대학원대학교,대학원대학,사립,경기,-,41,0,41,10,4,9,6,70,2,915,9,30,10,7,6,62,252,368,119,15,28,782,0,0,154,11,0,0,0,0,0,1,41,620,41,15.100000381469728,915,41,22.299999237060547
2016,68,국군간호사관학교,기타,기타,대전,-,0,0,0,0,0,0,540,540,0,26198,320,0,22,52,540,934,6980,0,716,453,2332,10481,0,0,61,25,67,5,1,6,1,12,330,6980,0,0.0,26198,0,0.0
2016,69,국립강릉원주대학교,대학,국립,강원,B그룹,8685,8048,637,383,452,312,3081,12913,59,569421,4988,361,338,264,602,6553,41392,3737,4925,3224,16029,69307,0,0,3,20,186,120,93,786,163,51,1877,45129,8685,5.199999809265137,569421,8685,65.5999984741211
2016,70,국립경국대학교,대학,국립,경북,B그룹,7914,7272,642,304,402,291,41,8952,60,332034,4109,300,205,172,41,4827,39552,4915,3770,2184,193,50614,0,0,74,341,280,129,26,739,33,58,1787,44467,7914,5.599999904632568,332034,7914,42.0
2016,71,국립공주대학교,대학,국립,충남,A그룹,16672,13992,2680,555,747,274,13522,31770,109,795322,8119,1087,303,307,631,10447,60961,9715,3547,4236,14218,92677,0,0,582,201,193,127,139,268,153,21,494,70676,16672,4.199999809265137,795322,16672,47.70000076293945
2016,72,국립군산대학교,대학,국립,전북,B그룹,8296,7553,743,344,272,256,0,9168,55,842746,4110,250,198,237,0,4795,27051,2678,2858,3225,16732,52544,0,0,10416,9532,159,5,2,428,28,18,1425,29729,8296,3.5999999046325684,842746,8296,101.5999984741211
2016,73,국립금오공과대학교,대학,국립,경북,B그룹,7131,6440,691,220,202,199,258,8010,19,614816,4475,311,145,215,97,5243,45288,5254,2912,3447,1472,58373,0,0,32,60,0,3,14,142,164,4,300,50542,7131,7.099999904632568,614816,7131,86.19999694824219
2016,74,국립목포대학교,대학,국립,전남,B그룹,8513,7507,1006,318,419,207,304,9761,52,660065,3603,369,129,168,60,4329,26021,2945,2067,2506,7851,41390,0,0,780,1300,520,115,26,334,18,29,826,28966,8513,3.400000095367432,660065,8513,77.5
2016,75,국립목포해양대학교,대학,국립,전남,C그룹,2748,2612,136,111,67,167,60,3153,12,53016,1217,35,61,44,6,1363,6790,360,748,501,5485,13884,0,0,1050,40,10,0,5,25,1,7,1398,7150,2748,2.5999999046325684,53016,2748,19.299999237060547
2016,76,국립부경대학교,대학,국립,부산,A그룹,19611,17085,2526,599,838,454,5512,27014,79,1744128,11288,1230,491,227,862,14098,87792,15654,8716,4024,22233,138419,0,0,3075,8370,84,172,160,874,185,49,1721,103446,19611,5.300000190734863,1744128,19611,88.9000015258789
2016,77,국립순천대학교,대학,국립,전남,B그룹,8341,7530,811,323,351,244,6033,15292,61,466244,4838,391,198,177,697,6301,42030,4528,2947,1940,12924,64369,0,0,1146,60,4885,0,0,371,23,2,1538,46558,8341,5.599999904632568,466244,8341,55.900001525878906
2016,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,66,0,66,19,60,5,0,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,66,0.0,0,66,0.0
