YR,ID,SNM,STYP,FND,RGN,USC,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_SPC,FACLT_EQP_UPC,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS
2015,86,국제대학교,전문대학,사립,경기,B그룹,396,86,8,15,23,396,4458,0.1000000014901161
2015,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0.0
2015,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,583,111,2,5,7,583,87,6.699999809265137
2015,89,국제사이버대학교,대학,사립,경기,C그룹,0,0,2,0,2,0,2384,0.0
2015,90,국제언어대학원대학교,대학원대학,사립,서울,-,420,40,2,7,9,420,90,4.699999809265137
2015,91,국제예술대학교,기타,기타,서울,-,86,25,0,0,0,86,0,0.0
2015,92,군산간호대학교,전문대학,사립,전북,C그룹,817,226,3,38,41,817,1153,0.699999988079071
2015,93,군장대학교,전문대학,사립,전북,C그룹,712,250,2,13,15,712,2122,0.3000000119209289
2015,94,극동대학교,대학,사립,충북,C그룹,628,146,8,50,58,628,4332,0.1000000014901161
2015,95,글로벌사이버대학교,대학,사립,충남,C그룹,0,0,0,0,0,0,2222,0.0
2015,96,금강대학교,대학,사립,충남,C그룹,10475,645,11,47,58,10475,525,20.0
2015,97,기독간호대학교,전문대학,사립,광주,C그룹,344,121,2,2,4,344,655,0.5
2015,98,김천대학교,대학,사립,경북,C그룹,2719,830,6,36,42,2719,3801,0.699999988079071
2015,99,김포대학교,전문대학,사립,경기,C그룹,1435,358,5,34,39,1435,3371,0.4000000059604645
2015,100,김해대학교,전문대학,사립,경남,C그룹,519,309,5,2,7,519,1520,0.3000000119209289
2015,101,나사렛대학교,대학,사립,충남,B그룹,3653,670,16,49,65,3653,6034,0.6000000238418579
2015,102,나주대학교,전문대학,사립,전남,C그룹,367,120,1,7,8,367,2117,0.2000000029802322
2015,103,남부대학교,대학,사립,광주,C그룹,2128,988,6,21,27,2128,3551,0.6000000238418579
2015,104,남서울대학교,대학,사립,충남,B그룹,15937,1796,26,85,111,15937,10532,1.5
2015,105,농협대학교,전문대학,사립,경기,C그룹,906,93,1,15,16,906,490,1.7999999523162842
2015,106,능인대학원대학교,대학원대학,사립,경기,-,0,0,0,0,0,0,0,0.0
2015,107,단국대학교,대학,사립,경기,A그룹,36687,5371,36,272,308,36687,28405,1.2999999523162842
2015,108,대경대학교,전문대학,사립,경북,B그룹,1176,303,1,18,19,1176,4169,0.3000000119209289
2015,109,대구가톨릭대학교,대학,사립,경북,A그룹,19514,2529,42,186,228,19514,15401,1.2999999523162842
2015,110,대구경북과학기술원,대학,국립,대구,C그룹,6733,713,6,119,125,6733,672,10.0
2015,111,대구공업대학교,전문대학,사립,대구,C그룹,4537,237,4,17,21,4537,2022,2.200000047683716
2015,112,대구과학대학교,전문대학,사립,대구,A그룹,5949,940,4,56,60,5949,4528,1.2999999523162842
2015,113,대구교육대학교,대학,국립,대구,C그룹,5048,1019,15,73,88,5048,2654,1.899999976158142
2015,114,대구대학교,대학,사립,경북,A그룹,21403,2921,60,234,294,21403,21554,1.0
2015,115,대구미래대학교,전문대학,사립,경북,C그룹,1135,160,7,16,23,1135,1019,1.100000023841858
2015,116,대구보건대학교,전문대학,사립,대구,A그룹,4431,873,10,25,35,4431,6893,0.6000000238418579
2015,117,대구사이버대학교,대학,사립,경북,C그룹,0,0,2,0,2,0,4222,0.0
